Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
95,G1T1701_BR109,G1T1701_BR_095_MP,nd,nd,0
96,G1T1701_BR110,G1T1701_BR_096_M,nd,nd,0
97,G1T1701_BR206,G1T1701_BR_188_M,nd,nd,0
98,G1T1701_BR300,G1T1701_BR_283_MP,nd,nd,0
99,G1T1701_BR301,G1T1701_BR_284_MP,nd,nd,0
100,G1T1701_BR302,not in dart analysis,nd,nd,0
101,G1T1701_BR395,G1T1701_BR_373_M,nd,nd,0
102,G1T1701_BR396,G1T1701_BR_374_M,nd,nd,0
103,G1T1701_BR026,G1T1701_BR_026_P,0.68,675.32,2.83
104,G1T1701_BR079,G1T1701_BR_045_P,1.18,1180.30,3.07
105,G1T1701_BR062,G1T1701_BR_079_MP,1.87,1866.64,3.27
106,G1T1701_BR054,G1T1701_BR_037_P,1.99,1989.87,3.30
107,G1T1701_BR002,G1T1701_BR_002_P,2.25,2251.82,3.35
108,G1T1701_BR003,G1T1701_BR_003_P,2.32,2321.52,3.37
109,G1T1701_BR052,G1T1701_BR_035_P,2.39,2394.74,3.38
110,G1T1701_BR022,G1T1701_BR_022_P,2.46,2456.68,3.39
111,G1T1701_BR275,G1T1701_BR_258_MP,2.49,2488.67,3.40
112,G1T1701_BR055,G1T1701_BR_038_P,2.63,2628.88,3.42
113,G1T1701_BR051,G1T1701_BR_034_P,2.86,2863.47,3.46
114,G1T1701_BR006,G1T1701_BR_006_P,2.98,2980.15,3.47
115,G1T1701_BR023,G1T1701_BR_023_P,3.03,3026.08,3.48
116,G1T1701_BR099,G1T1701_BR_064_P,3.19,3191.93,3.50
117,G1T1701_BR081,G1T1701_BR_047_P,3.58,3583.16,3.55
118,G1T1701_BR014,G1T1701_BR_014_P,3.91,3905.94,3.59
119,G1T1701_BR404,G1T1701_BR_382_MP,4.35,4348.76,3.64
120,G1T1701_BR001,G1T1701_BR_001_P,4.43,4426.30,3.65
121,G1T1701_BR027,G1T1701_BR_027_P,4.63,4626.22,3.67
122,G1T1701_BR078,G1T1701_BR_044_P,5.27,5266.22,3.72
123,G1T1701_BR020,G1T1701_BR_020_P,5.28,5279.39,3.72
124,G1T1701_BR276,G1T1701_BR_259_MP,5.29,5290.84,3.72
125,G1T1701_BR050,G1T1701_BR_033_P,5.56,5564.83,3.75
126,G1T1701_BR009,G1T1701_BR_009_P,5.75,5753.26,3.76
127,G1T1701_BR288,G1T1701_BR_271_MP,5.85,5847.21,3.77
128,G1T1701_BR025,G1T1701_BR_025_P,5.92,5922.84,3.77
129,G1T1701_BR080,G1T1701_BR_046_P,6.03,6028.13,3.78
130,G1T1701_BR012,G1T1701_BR_012_P,6.20,6197.35,3.79
131,G1T1701_BR450,G1T1701_BR_426_MP,6.27,6266.15,3.80
132,G1T1701_BR166,G1T1701_BR_146_M,6.27,6270.03,3.80
133,G1T1701_BR077,G1T1701_BR_043_P,6.39,6388.06,3.81
134,G1T1701_BR048,G1T1701_BR_031_P,6.60,6597.84,3.82
135,G1T1701_BR474,G1T1701_BR_450_MP,7.04,7044.47,3.85
136,G1T1701_BR049,G1T1701_BR_032_P,7.52,7521.50,3.88
137,G1T1701_BR034,G1T1701_BR_030_P,7.59,7590.91,3.88
138,G1T1701_BR424,G1T1701_BR_402_MP,7.68,7679.78,3.89
139,G1T1701_BR021,G1T1701_BR_021_P,7.71,7707.46,3.89
140,G1T1701_BR004,G1T1701_BR_004_P,7.80,7801.36,3.89
141,G1T1701_BR476,G1T1701_BR_452_MP,8.37,8365.68,3.92
142,G1T1701_BR294,G1T1701_BR_277_MP,8.52,8523.71,3.93
143,G1T1701_BR295,G1T1701_BR_278_MP,8.70,8700.11,3.94
144,G1T1701_BR272,G1T1701_BR_255_MP,8.98,8983.64,3.95
145,G1T1701_BR033,G1T1701_BR_029_P,9.00,8997.26,3.95
146,G1T1701_BR087,G1T1701_BR_083_MP,9.01,9006.68,3.95
147,G1T1701_BR167,G1T1701_BR_147_M,9.38,9384.90,3.97
148,G1T1701_BR024,G1T1701_BR_024_P,9.56,9561.77,3.98
149,G1T1701_BR210,G1T1701_BR_192_MP,9.63,9627.72,3.98
150,G1T1701_BR287,G1T1701_BR_270_GMP,9.78,9780.81,3.99
151,G1T1701_BR402,G1T1701_BR_380_MP,10.84,10842.90,4.04
152,G1T1701_BR129,G1T1701_BR_117_MP,11.17,11167.09,4.05
153,G1T1701_BR088,G1T1701_BR_084_MP,11.33,11326.02,4.05
154,G1T1701_BR065,G1T1701_BR_042_P,11.86,11859.57,4.07
155,G1T1701_BR053,G1T1701_BR_036_P,12.55,12554.75,4.10
156,G1T1701_BR007,G1T1701_BR_007_P,12.63,12630.93,4.10
157,G1T1701_BR238,not in dart analysis,13.01,13012.62,4.11
158,G1T1701_BR460,G1T1701_BR_436_GMP,13.95,13948.77,4.14
159,G1T1701_BR329,G1T1701_BR_312_MP,14.08,14077.05,4.15
160,G1T1701_BR408,G1T1701_BR_386_MP,14.55,14545.79,4.16
161,G1T1701_BR303,not in dart analysis,14.57,14569.15,4.16
162,G1T1701_BR282,G1T1701_BR_265_MP,14.68,14681.27,4.17
163,G1T1701_BR392,G1T1701_BR_370_MP,14.98,14979.01,4.18
164,G1T1701_BR285,G1T1701_BR_268_MP,15.33,15325.01,4.19
165,G1T1701_BR217,G1T1701_BR_200_MP,15.52,15522.89,4.19
166,G1T1701_BR016,G1T1701_BR_016_P,15.82,15823.36,4.20
167,G1T1701_BR291,G1T1701_BR_274_MP,16.28,16283.29,4.21
168,G1T1701_BR019,G1T1701_BR_019_P,17.70,17695.44,4.25
169,G1T1701_BR071,G1T1701_BR_062_P,18.03,18034.23,4.26
