Broodstock ID,ARC Hub Tube Label,ARC determined genotype,GAVcopies/ng,GAV copies/ug,lgGAV
368,G1T1701_BR352,G1T1701_BR_335_M,1456.26,1456255.86,6.16
369,G1T1701_BR394,G1T1701_BR_372_MP,1488.71,1488708.18,6.17
370,G1T1701_BR348,not dart analysed,1540.35,1540351.80,6.19
371,G1T1701_BR423,G1T1701_BR_401_MP,1578.55,1578548.68,6.20
372,G1T1701_BR243,G1T1701_BR_226_MP,1663.22,1663215.45,6.22
373,G1T1701_BR242,G1T1701_BR_225_M,1757.66,1757661.89,6.24
374,G1T1701_BR363,G1T1701_BR_342_M,1832.08,1832076.95,6.26
375,G1T1701BR_354,not in dart analysis,1872.62,1872619.00,6.27
376,G1T1701_BR213,G1T1701_BR_196_M,1915.04,1915043.07,6.28
377,G1T1701_BR124,G1T1701_BR_113_MP,1964.50,1964504.58,6.29
378,G1T1701BR_353,not in dart analysis,2105.61,2105609.11,6.32
379,G1T1701_BR038,G1T1701_BR_105_MP,2150.62,2150623.90,6.33
380,G1T1701_BR357,G1T1701_BR_340_MP,2288.71,2288706.11,6.36
381,G1T1701_BR095,G1T1701_BR_091_M,2349.41,2349412.12,6.37
382,G1T1701_BR096,G1T1701_BR_092_M,2421.41,2421412.47,6.38
383,G1T1701_BR268,G1T1701_BR_251_MP,2664.92,2664921.81,6.43
384,G1T1701_BR386,G1T1701_BR_365_MP,2690.47,2690474.69,6.43
385,G1T1701_BR289,G1T1701_BR_272_MP,2850.76,2850758.60,6.45
386,G1T1701_BR262,G1T1701_BR_245_MP,2943.61,2943612.47,6.47
387,G1T1701_BR047,G1T1701_BR_077_MP,3060.32,3060324.22,6.49
388,G1T1701_BR382,G1T1701_BR_361_MP,3117.65,3117654.63,6.49
389,G1T1701_BR367,G1T1701_BR_346_MP,3131.46,3131460.15,6.50
390,G1T1701_BR186,G1T1701_BR_169_MP,3625.89,3625890.19,6.56
391,G1T1701_BR154,G1T1701_BR_135_MP,3796.83,3796833.03,6.58
392,G1T1701_BR236,G1T1701_BR_219_MP,3905.54,3905541.26,6.59
393,G1T1701_BR101,G1T1701_BR_054_P,4087.45,4087454.47,6.61
394,G1T1701_BR455,G1T1701_BR_431_MP,4558.73,4558733.38,6.66
395,G1T1701_BR249,G1T1701_BR_232_M,4604.68,4604675.49,6.66
396,G1T1701_BR018,G1T1701_BR_018_P,4651.50,4651499.90,6.67
397,G1T1701_BR387,G1T1701_BR_366_MP,4752.25,4752246.07,6.68
398,G1T1701_BR089,G1T1701_BR_085_MP,4831.98,4831979.13,6.68
399,G1T1701_BR358,G1T1701_BR_341_MP,5035.13,5035134.70,6.70
400,G1T1701_BR365,not in dart analysis,5185.66,5185662.54,6.71
401,G1T1701_BR070,G1T1701_BR_061_P,5553.24,5553240.28,6.74
402,G1T1701_BR214,G1T1701_BR_197_MP,5918.60,5918602.83,6.77
403,G1T1701_BR209,G1T1701_BR_191_MP,6033.84,6033839.37,6.78
404,G1T1701_BR160,G1T1701_BR_140_MP,6585.13,6585129.82,6.82
405,G1T1701_BR203,G1T1701_BR_185_MP,6602.72,6602719.07,6.82
406,G1T1701_BR307,G1T1701_BR_290_M,7305.33,7305332.63,6.86
407,G1T1701_BR171,G1T1701_BR_151_MP,8033.15,8033149.94,6.90
408,G1T1701_BR233,G1T1701_BR_216_MP,9288.26,9288262.70,6.97
409,G1T1701_BR230,G1T1701_BR_213_MP,9510.39,9510389.93,6.98
410,G1T1701_BR215,G1T1701_BR_198_M,11548.64,11548636.27,7.06
411,G1T1701_BR284,G1T1701_BR_267_MP,12314.88,12314877.32,7.09
412,G1T1701_BR176,G1T1701_BR_156_MP,12391.45,12391445.98,7.09
413,G1T1701_BR259,G1T1701_BR_159_MP,15739.38,15739376.23,7.20
414,G1T1701_BR278,G1T1701_BR_261_MP,16100.51,16100509.56,7.21
415,G1T1701_BR309,G1T1701_BR_292_MP,17245.08,17245075.33,7.24
416,G1T1701_BR189,G1T1701_BR_172_MP,19731.72,19731722.44,7.30
417,G1T1701_BR431,G1T1701_BR_409_MP,22033.44,22033441.93,7.34
418,G1T1701_BR432,G1T1701_BR_410_MP,23364.56,23364560.45,7.37
419,G1T1701_BR267,G1T1701_BR_250_MP,28658.00,28657998.84,7.46
420,G1T1701_BR384,G1T1701_BR_363_MP,30714.11,30714112.54,7.49
421,G1T1701_BR383,G1T1701_BR_362_MP,33489.57,33489573.21,7.52
422,G1T1701_BR091,G1T1701_BR_087_MP,35147.81,35147806.54,7.55
423,G1T1701_BR269,G1T1701_BR_252_MP,35815.65,35815650.52,7.55
424,G1T1701_BR090,G1T1701_BR_086_MP,36131.45,36131446.88,7.56
425,G1T1701_BR069,G1T1701_BR_060_P,37334.80,37334802.92,7.57
426,G1T1701_BR247,G1T1701_BR_230_M,42054.12,42054122.37,7.62
427,G1T1701_BR321,not in dart analysis,42990.10,42990104.85,7.63
428,G1T1701_BR199,G1T1701_BR_182_MP,47772.73,47772733.60,7.68
429,G1T1701_BR227,G1T1701_BR_210_M,52881.98,52881983.18,7.72
430,G1T1701_BR223,not in dart analysis,55719.11,55719109.81,7.75
431,G1T1701_BR232,G1T1701_BR_215_MP,65195.22,65195216.14,7.81
432,G1T1701_BR311,not in dart analysis,82641.46,82641462.59,7.92
433,G1T1701_BR220,G1T1701_BR_203_M,94337.82,94337820.52,7.97
434,G1T1701_BR252,G1T1701_BR_235_MP,101298.35,101298352.46,8.01
435,G1T1701_BR256,G1T1701_BR_239_MP,108779.35,108779346.94,8.04
436,G1T1701_BR362,G1T1701_BR_460,109335.87,109335867.58,8.04
437,G1T1701_BR132,G1T1701_BR_068_P,139100.96,139100962.07,8.14
438,G1T1701_BR425,G1T1701_BR_403_MP,152704.86,152704860.72,8.18
439,G1T1701_BR197,G1T1701_BR_180_MP,180144.14,180144139.66,8.26
440,G1T1701_BR388,G1T1701_BR_367_MP,189258.99,189258992.65,8.28
441,G1T1701_BR200,G1T1701_BR_183_MP,198355.18,198355184.62,8.30
442,G1T1701_BR159,G1T1701_BR_139_MP,234254.72,234254722.72,8.37
443,G1T1701_BR273,G1T1701_BR_256_GMP,234545.90,234545896.74,8.37
444,G1T1701_BR240,G1T1701_BR_223_M,301948.61,301948609.11,8.48
445,G1T1701_BR435,G1T1701_BR_413_MP,388315.44,388315442.91,8.59
446,G1T1701_BR212,G1T1701_BR_194_MP,394078.92,394078920.99,8.60
447,G1T1701_BR175,G1T1701_BR_155_M,506712.82,506712819.92,8.70
448,G1T1701_BR178,G1T1701_BR_161_MP,524863.18,524863178.64,8.72
449,G1T1701_BR244,G1T1701_BR_227_MP,790713.28,790713281.29,8.90
450,G1T1701_BR370,G1T1701_BR_349_MP,798421.48,798421484.06,8.90
451,G1T1701_BR221,G1T1701_BR_204_M,824428.37,824428366.05,8.92
452,G1T1701_BR152,G1T1701_BR_133_MP,839048.03,839048029.01,8.92
453,G1T1701_BR374,G1T1701_BR_353_MP,1111784.64,1111784643.09,9.05
454,G1T1701_BR201,G1T1701_BR_184_MP,1467753.67,1467753673.88,9.17
455,G1T1701_BR241,G1T1701_BR_224_MP,1964876.44,1964876438.73,9.29
456,G1T1701_BR391,not in dart analysis,2809337.10,2809337102.79,9.45
