Cohort,FamilyID,ID,class,logGAV
201602,B3_011,201602_142_005_C12_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_D1_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_D12_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_E11_G,Offspring,4.29
201602,B3_011,201602_142_005_E12_G,Offspring,7.23
201602,B3_011,201602_142_005_E3_G,Offspring,7.08
201602,B3_011,201602_142_005_F12_G,Offspring,4.12
201602,B3_011,201602_142_005_F2_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_F3_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_F5_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_F6_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_G5_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_G6_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_H2_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_H4_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_H5_G,Offspring,1.00E-05
201602,B3_011,201602_142_005_H6_G,Offspring,1.00E-05
