Cohort,IntFamID,FamilyID,ID,class,LogGAV
201602,26,B2_013,201604_136_001_D7_G,Offspring,4.16
201602,26,B2_013,201604_136_001_E1_G,Offspring,5.37
201602,26,B2_013,201604_136_001_H8_G,Offspring,3.48
201701,27,B2_014,201604_136_001_A2_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_B11_G,Offspring,4.18
201701,27,B2_014,201604_136_001_C10_G,Offspring,3.1
201701,27,B2_014,201604_136_001_D10_G,Offspring,3.58
201701,27,B2_014,201604_136_001_E3_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_E9_G,Offspring,4.19
201701,27,B2_014,201604_136_001_F11_G,Offspring,3.39
201701,27,B2_014,201604_136_001_G1_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G2_G,Offspring,3
201701,27,B2_014,201604_136_001_G4_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G7_G,Offspring,1.00E-05
201701,27,B2_014,201604_136_001_G9_G,Offspring,6.98
201701,27,B2_014,201604_136_001_H2_G,Offspring,1.00E-05
201701,28,B2_015,201604_136_001_B3_G,Offspring,5.74
201701,28,B2_015,201604_136_001_B5_G,Offspring,7.43
201701,28,B2_015,201604_136_001_C3_G,Offspring,4.9
201701,28,B2_015,201604_136_001_C4_G,Offspring,1.00E-05
201701,28,B2_015,201604_136_001_E11_G,Offspring,3.18
201701,28,B2_015,201604_136_001_E8_G,Offspring,5.24
201701,28,B2_015,201604_136_001_F8_G,Offspring,1.00E-05
201701,28,B2_015,201604_136_001_H6_G,Offspring,4.83
201701,28,B2_015,201604_136_001_H7_G,Offspring,1.00E-05
201701,28,B2_015,201604_136_001_H9_G,Offspring,3.25
201701,30,B2_017,201604_136_001_A11_G,Offspring,6.98
201701,30,B2_017,201604_136_001_A4_G,Offspring,3.69
201701,30,B2_017,201604_136_001_C6_G,Offspring,4.7
201701,30,B2_017,201604_136_001_G3_G,Offspring,5.36
201701,30,B2_017,201604_136_001_H3_G,Offspring,1.00E-05
201701,33,B2_020,201604_136_001_A3_G,Offspring,1.00E-05
201701,33,B2_020,201604_136_001_B12_G,Offspring,1.00E-05
201701,33,B2_020,201604_136_001_H11_G,Offspring,3.66
201701,33,B2_020,201604_136_001_H5_G,Offspring,4.3
201604,35,B3_001,201602_141_001_A12_G,Offspring,3.15
201604,35,B3_001,201602_141_001_A6_G,Offspring,1.00E-05
201604,35,B3_001,201602_141_001_B10_G,Offspring,1.00E-05
201604,35,B3_001,201602_141_001_C10_G,Offspring,1.00E-05
201604,35,B3_001,201602_141_001_D3_G,Offspring,1.00E-05
201604,35,B3_001,201602_141_001_G6_G,Offspring,3.17
201604,35,B3_001,201602_141_001_H6_G,Offspring,3.14
201604,38,B3_005,201602_141_001_C7_G,Offspring,1.00E-05
201604,38,B3_005,201602_141_001_D12_G,Offspring,1.00E-05
201604,38,B3_005,201602_141_001_E5_G,Offspring,1.00E-05
201602,42,B3_011,201602_141_001_A2_G,Offspring,3.11
201602,42,B3_011,201602_141_001_A3_G,Offspring,1.00E-05
201602,42,B3_011,201602_141_001_C1_G,Offspring,1.00E-05
201602,42,B3_011,201602_141_001_C12_G,Offspring,3.15
201602,42,B3_011,201602_141_001_E6_G,Offspring,1.00E-05
201602,42,B3_011,201602_141_001_F11_G,Offspring,3.08
201602,42,B3_011,201602_141_001_G10_G,Offspring,1.00E-05
201701,43,B3_012,201602_141_001_D9_G,Offspring,1.00E-05
201701,43,B3_012,201602_141_001_F3_G,Offspring,1.00E-05
201701,44,B3_013,201602_141_001_A10_G,Offspring,1.00E-05
201701,44,B3_013,201602_141_001_A8_G,Offspring,3.14
201701,44,B3_013,201602_141_001_B3_G,Offspring,1.00E-05
201701,44,B3_013,201602_141_001_C5_G,Offspring,1.00E-05
201701,44,B3_013,201602_141_001_D11_G,Offspring,3.09
201701,44,B3_013,201602_141_001_G11_G,Offspring,3.14
201701,47,B3_016,201602_141_001_A9_G,Offspring,1.00E-05
