Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,201604BR326,Father,4.07,br,br,B2_014,1
201604,201604BR520,Mother,4.15,br,br,B2_014,1
201604,201604BR347,Father,5.14,br,br,B1_033,2
201604,201604BR456,Mother,0,br,br,B1_033,2
201602,201602BR088,Father,2.31,br,br,B3_012,3
201602,201602BR060,Mother,1.51,br,br,B3_012,3
201604,201604BR231,Father,3.15,br,br,B2_010,4
201604,201604BR094,Mother,3.71,br,br,B2_010,4
201604,201604BR223,Father,NA,br,br,B2_007,5
201604,201604BR102,Mother,0,br,br,B2_007,5
201602,201602BR087,Father,1.82,br,br,B3_011,6
201602,201602BR056,Mother,0,br,br,B3_011,6
201602,201602BR118,Father,NA,br,br,B3_020,7
201602,201602BR123,Mother,0,br,br,B3_020,7
201604,201604BR365,Father,3.55,br,br,B2_017,8
201604,201604BR537,Mother,2.04,br,br,B2_017,8
201602,201602BR121,Father,NA,br,br,B3_013,9
201602,201602BR063,Mother,2.29,br,br,B3_013,9
201604,201604BR323,Father,5.47,br,br,B2_013,10
201604,201604BR429,Mother,0,br,br,B2_013,10
201604,RA4_043,Offspring,NA,A4,larval,B2_014,1
201604,RA4_044,Offspring,NA,A4,larval,B2_014,1
201604,RA4_047,Offspring,NA,A4,larval,B2_014,1
201604,RA4_055,Offspring,NA,A4,larval,B2_014,1
201604,RA4_069,Offspring,NA,A4,larval,B2_014,1
201604,RA4_071,Offspring,NA,A4,larval,B2_014,1
201604,RA4_097,Offspring,NA,A4,larval,B2_014,1
201604,RA4_098,Offspring,NA,A4,larval,B2_014,1
201604,RA4_122,Offspring,NA,A4,larval,B2_014,1
201604,RA4_131,Offspring,NA,A4,larval,B2_014,1
201604,RA4_149,Offspring,NA,A4,larval,B2_014,1
201604,RA4_172,Offspring,NA,A4,larval,B2_014,1
201604,RA4_173,Offspring,NA,A4,larval,B2_014,1
201604,RA4_183,Offspring,NA,A4,larval,B2_014,1
201604,RA4_208,Offspring,NA,A4,larval,B2_014,1
201604,RA4_246,Offspring,NA,A4,larval,B2_014,1
201604,RA4_247,Offspring,NA,A4,larval,B2_014,1
201604,RA4_286,Offspring,NA,A4,larval,B2_014,1
201604,RA4_314,Offspring,NA,A4,larval,B2_014,1
201604,RA4_390,Offspring,NA,A4,larval,B2_014,1
201604,RA4_396,Offspring,NA,A4,larval,B2_014,1
201604,RA4_401,Offspring,NA,A4,larval,B2_014,1
201604,RA4_408,Offspring,NA,A4,larval,B2_014,1
201604,RA4_421,Offspring,NA,A4,larval,B2_014,1
201604,RA4_428,Offspring,NA,A4,larval,B2_014,1
201604,RA4_437,Offspring,NA,A4,larval,B2_014,1
201604,RA4_459,Offspring,NA,A4,larval,B2_014,1
201604,RA4_009,Offspring,NA,A4,larval,B2_010,4
201604,RA4_025,Offspring,NA,A4,larval,B2_010,4
201604,RA4_041,Offspring,NA,A4,larval,B2_010,4
201604,RA4_074,Offspring,NA,A4,larval,B2_010,4
201604,RA4_105,Offspring,NA,A4,larval,B2_010,4
201604,RA4_107,Offspring,NA,A4,larval,B2_010,4
201604,RA4_111,Offspring,NA,A4,larval,B2_010,4
201604,RA4_155,Offspring,NA,A4,larval,B2_010,4
201604,RA4_158,Offspring,NA,A4,larval,B2_010,4
201604,RA4_174,Offspring,NA,A4,larval,B2_010,4
201604,RA4_189,Offspring,NA,A4,larval,B2_010,4
201604,RA4_195,Offspring,NA,A4,larval,B2_010,4
201604,RA4_198,Offspring,NA,A4,larval,B2_010,4
201604,RA4_199,Offspring,NA,A4,larval,B2_010,4
201604,RA4_220,Offspring,NA,A4,larval,B2_010,4
201604,RA4_232,Offspring,NA,A4,larval,B2_010,4
201604,RA4_237,Offspring,NA,A4,larval,B2_010,4
201604,RA4_255,Offspring,NA,A4,larval,B2_010,4
201604,RA4_265,Offspring,NA,A4,larval,B2_010,4
201604,RA4_267,Offspring,NA,A4,larval,B2_010,4
201604,RA4_289,Offspring,NA,A4,larval,B2_010,4
201604,RA4_301,Offspring,NA,A4,larval,B2_010,4
201604,RA4_307,Offspring,NA,A4,larval,B2_010,4
201604,RA4_313,Offspring,NA,A4,larval,B2_010,4
201604,RA4_316,Offspring,NA,A4,larval,B2_010,4
201604,RA4_322,Offspring,NA,A4,larval,B2_010,4
201604,RA4_340,Offspring,NA,A4,larval,B2_010,4
201604,RA4_343,Offspring,NA,A4,larval,B2_010,4
201604,RA4_360,Offspring,NA,A4,larval,B2_010,4
201604,RA4_361,Offspring,NA,A4,larval,B2_010,4
201604,RA4_362,Offspring,NA,A4,larval,B2_010,4
201604,RA4_384,Offspring,NA,A4,larval,B2_010,4
201604,RA4_385,Offspring,NA,A4,larval,B2_010,4
201604,RA4_386,Offspring,NA,A4,larval,B2_010,4
201604,RA4_438,Offspring,NA,A4,larval,B2_010,4
201604,RA4_001,Offspring,NA,A4,larval,B2_007,5
201604,RA4_008,Offspring,NA,A4,larval,B2_007,5
201604,RA4_040,Offspring,NA,A4,larval,B2_007,5
201604,RA4_050,Offspring,NA,A4,larval,B2_007,5
201604,RA4_056,Offspring,NA,A4,larval,B2_007,5
201604,RA4_058,Offspring,NA,A4,larval,B2_007,5
201604,RA4_066,Offspring,NA,A4,larval,B2_007,5
201604,RA4_100,Offspring,NA,A4,larval,B2_007,5
201604,RA4_118,Offspring,NA,A4,larval,B2_007,5
201604,RA4_130,Offspring,NA,A4,larval,B2_007,5
201604,RA4_134,Offspring,NA,A4,larval,B2_007,5
201604,RA4_142,Offspring,NA,A4,larval,B2_007,5
201604,RA4_154,Offspring,NA,A4,larval,B2_007,5
201604,RA4_175,Offspring,NA,A4,larval,B2_007,5
201604,RA4_187,Offspring,NA,A4,larval,B2_007,5
201604,RA4_190,Offspring,NA,A4,larval,B2_007,5
201604,RA4_206,Offspring,NA,A4,larval,B2_007,5
201604,RA4_211,Offspring,NA,A4,larval,B2_007,5
201604,RA4_213,Offspring,NA,A4,larval,B2_007,5
201604,RA4_218,Offspring,NA,A4,larval,B2_007,5
201604,RA4_223,Offspring,NA,A4,larval,B2_007,5
201604,RA4_242,Offspring,NA,A4,larval,B2_007,5
201604,RA4_308,Offspring,NA,A4,larval,B2_007,5
201604,RA4_317,Offspring,NA,A4,larval,B2_007,5
201604,RA4_318,Offspring,NA,A4,larval,B2_007,5
201604,RA4_334,Offspring,NA,A4,larval,B2_007,5
201604,RA4_335,Offspring,NA,A4,larval,B2_007,5
201604,RA4_379,Offspring,NA,A4,larval,B2_007,5
201604,RA4_402,Offspring,NA,A4,larval,B2_007,5
201604,RA4_413,Offspring,NA,A4,larval,B2_007,5
201604,RA4_442,Offspring,NA,A4,larval,B2_007,5
201604,RA4_457,Offspring,NA,A4,larval,B2_007,5
201604,RA4_021,Offspring,NA,A4,larval,B2_017,8
201604,RA4_063,Offspring,NA,A4,larval,B2_017,8
201604,RA4_123,Offspring,NA,A4,larval,B2_017,8
201604,RA4_128,Offspring,NA,A4,larval,B2_017,8
201604,RA4_135,Offspring,NA,A4,larval,B2_017,8
201604,RA4_144,Offspring,NA,A4,larval,B2_017,8
201604,RA4_163,Offspring,NA,A4,larval,B2_017,8
201604,RA4_177,Offspring,NA,A4,larval,B2_017,8
201604,RA4_191,Offspring,NA,A4,larval,B2_017,8
201604,RA4_194,Offspring,NA,A4,larval,B2_017,8
201604,RA4_200,Offspring,NA,A4,larval,B2_017,8
201604,RA4_205,Offspring,NA,A4,larval,B2_017,8
201604,RA4_212,Offspring,NA,A4,larval,B2_017,8
201604,RA4_214,Offspring,NA,A4,larval,B2_017,8
201604,RA4_215,Offspring,NA,A4,larval,B2_017,8
201604,RA4_217,Offspring,NA,A4,larval,B2_017,8
201604,RA4_238,Offspring,NA,A4,larval,B2_017,8
201604,RA4_250,Offspring,NA,A4,larval,B2_017,8
201604,RA4_252,Offspring,NA,A4,larval,B2_017,8
201604,RA4_261,Offspring,NA,A4,larval,B2_017,8
201604,RA4_273,Offspring,NA,A4,larval,B2_017,8
201604,RA4_278,Offspring,NA,A4,larval,B2_017,8
201604,RA4_284,Offspring,NA,A4,larval,B2_017,8
201604,RA4_294,Offspring,NA,A4,larval,B2_017,8
201604,RA4_296,Offspring,NA,A4,larval,B2_017,8
201604,RA4_328,Offspring,NA,A4,larval,B2_017,8
201604,RA4_329,Offspring,NA,A4,larval,B2_017,8
201604,RA4_353,Offspring,NA,A4,larval,B2_017,8
201604,RA4_369,Offspring,NA,A4,larval,B2_017,8
201604,RA4_382,Offspring,NA,A4,larval,B2_017,8
201604,RA4_393,Offspring,NA,A4,larval,B2_017,8
201604,RA4_416,Offspring,NA,A4,larval,B2_017,8
201604,RA4_422,Offspring,NA,A4,larval,B2_017,8
201604,RA4_435,Offspring,NA,A4,larval,B2_017,8
201604,RA4_452,Offspring,NA,A4,larval,B2_017,8
201604,RA4_456,Offspring,NA,A4,larval,B2_017,8
201604,RA4_465,Offspring,NA,A4,larval,B2_017,8
201604,RA4_468,Offspring,NA,A4,larval,B2_017,8
201604,RA4_003,Offspring,NA,A4,larval,B2_013,10
201604,RA4_005,Offspring,NA,A4,larval,B2_013,10
201604,RA4_015,Offspring,NA,A4,larval,B2_013,10
201604,RA4_064,Offspring,NA,A4,larval,B2_013,10
201604,RA4_067,Offspring,NA,A4,larval,B2_013,10
201604,RA4_075,Offspring,NA,A4,larval,B2_013,10
201604,RA4_077,Offspring,NA,A4,larval,B2_013,10
201604,RA4_085,Offspring,NA,A4,larval,B2_013,10
201604,RA4_086,Offspring,NA,A4,larval,B2_013,10
201604,RA4_101,Offspring,NA,A4,larval,B2_013,10
201604,RA4_114,Offspring,NA,A4,larval,B2_013,10
201604,RA4_115,Offspring,NA,A4,larval,B2_013,10
201604,RA4_138,Offspring,NA,A4,larval,B2_013,10
201604,RA4_145,Offspring,NA,A4,larval,B2_013,10
201604,RA4_202,Offspring,NA,A4,larval,B2_013,10
201604,RA4_224,Offspring,NA,A4,larval,B2_013,10
201604,RA4_229,Offspring,NA,A4,larval,B2_013,10
201604,RA4_230,Offspring,NA,A4,larval,B2_013,10
201604,RA4_263,Offspring,NA,A4,larval,B2_013,10
201604,RA4_285,Offspring,NA,A4,larval,B2_013,10
201604,RA4_293,Offspring,NA,A4,larval,B2_013,10
201604,RA4_304,Offspring,NA,A4,larval,B2_013,10
201604,RA4_327,Offspring,NA,A4,larval,B2_013,10
201604,RA4_342,Offspring,NA,A4,larval,B2_013,10
201604,RA4_344,Offspring,NA,A4,larval,B2_013,10
201604,RA4_372,Offspring,NA,A4,larval,B2_013,10
201604,RA4_383,Offspring,NA,A4,larval,B2_013,10
201604,RA4_405,Offspring,NA,A4,larval,B2_013,10
201604,RA4_433,Offspring,NA,A4,larval,B2_013,10
201604,RA4_439,Offspring,NA,A4,larval,B2_013,10
201604,RA4_444,Offspring,NA,A4,larval,B2_013,10
201604,RA4_467,Offspring,NA,A4,larval,B2_013,10
201604,RA5_004,Offspring,NA,A5,larval,B2_014,1
201604,RA5_008,Offspring,NA,A5,larval,B2_014,1
201604,RA5_013,Offspring,NA,A5,larval,B2_014,1
201604,RA5_020,Offspring,NA,A5,larval,B2_014,1
201604,RA5_021,Offspring,NA,A5,larval,B2_014,1
201604,RA5_031,Offspring,NA,A5,larval,B2_014,1
201604,RA5_039,Offspring,NA,A5,larval,B2_014,1
201604,RA5_047,Offspring,NA,A5,larval,B2_014,1
201604,RA5_061,Offspring,NA,A5,larval,B2_014,1
201604,RA5_067,Offspring,NA,A5,larval,B2_014,1
201604,RA5_087,Offspring,NA,A5,larval,B2_014,1
201604,RA5_104,Offspring,NA,A5,larval,B2_014,1
201604,RA5_108,Offspring,NA,A5,larval,B2_014,1
201604,RA5_124,Offspring,NA,A5,larval,B2_014,1
201604,RA5_132,Offspring,NA,A5,larval,B2_014,1
201604,RA5_149,Offspring,NA,A5,larval,B2_014,1
201604,RA5_154,Offspring,NA,A5,larval,B2_014,1
201604,RA5_155,Offspring,NA,A5,larval,B2_014,1
201604,RA5_178,Offspring,NA,A5,larval,B2_014,1
201604,RA5_180,Offspring,NA,A5,larval,B2_014,1
201604,RA5_184,Offspring,NA,A5,larval,B2_014,1
201604,RA5_202,Offspring,NA,A5,larval,B2_014,1
201604,RA5_204,Offspring,NA,A5,larval,B2_014,1
201604,RA5_206,Offspring,NA,A5,larval,B2_014,1
201604,RA5_208,Offspring,NA,A5,larval,B2_014,1
201604,RA5_228,Offspring,NA,A5,larval,B2_014,1
201604,RA5_235,Offspring,NA,A5,larval,B2_014,1
201604,RA5_236,Offspring,NA,A5,larval,B2_014,1
201604,RA5_240,Offspring,NA,A5,larval,B2_014,1
201604,RA5_243,Offspring,NA,A5,larval,B2_014,1
201604,RA5_249,Offspring,NA,A5,larval,B2_014,1
201604,RA5_253,Offspring,NA,A5,larval,B2_014,1
201604,RA5_261,Offspring,NA,A5,larval,B2_014,1
201604,RA5_267,Offspring,NA,A5,larval,B2_014,1
201604,RA5_270,Offspring,NA,A5,larval,B2_014,1
201604,RA5_291,Offspring,NA,A5,larval,B2_014,1
201604,RA5_292,Offspring,NA,A5,larval,B2_014,1
201604,RA5_301,Offspring,NA,A5,larval,B2_014,1
201604,RA5_302,Offspring,NA,A5,larval,B2_014,1
201604,RA5_304,Offspring,NA,A5,larval,B2_014,1
201604,RA5_305,Offspring,NA,A5,larval,B2_014,1
201604,RA5_310,Offspring,NA,A5,larval,B2_014,1
201604,RA5_311,Offspring,NA,A5,larval,B2_014,1
201604,RA5_315,Offspring,NA,A5,larval,B2_014,1
201604,RA5_323,Offspring,NA,A5,larval,B2_014,1
201604,RA5_326,Offspring,NA,A5,larval,B2_014,1
201604,RA5_327,Offspring,NA,A5,larval,B2_014,1
201604,RA5_331,Offspring,NA,A5,larval,B2_014,1
201604,RA5_342,Offspring,NA,A5,larval,B2_014,1
201604,RA5_343,Offspring,NA,A5,larval,B2_014,1
201604,RA5_350,Offspring,NA,A5,larval,B2_014,1
201604,RA5_355,Offspring,NA,A5,larval,B2_014,1
201604,RA5_363,Offspring,NA,A5,larval,B2_014,1
201604,RA5_378,Offspring,NA,A5,larval,B2_014,1
201604,RA5_384,Offspring,NA,A5,larval,B2_014,1
201604,RA5_394,Offspring,NA,A5,larval,B2_014,1
201604,RA5_401,Offspring,NA,A5,larval,B2_014,1
201604,RA5_417,Offspring,NA,A5,larval,B2_014,1
201604,RA5_419,Offspring,NA,A5,larval,B2_014,1
201604,RA5_433,Offspring,NA,A5,larval,B2_014,1
201604,RA5_438,Offspring,NA,A5,larval,B2_014,1
201604,RA5_443,Offspring,NA,A5,larval,B2_014,1
201604,RA5_456,Offspring,NA,A5,larval,B2_014,1
201604,RA5_466,Offspring,NA,A5,larval,B2_014,1
201604,RA5_468,Offspring,NA,A5,larval,B2_014,1
201604,RA5_003,Offspring,NA,A5,larval,B2_010,4
201604,RA5_024,Offspring,NA,A5,larval,B2_010,4
201604,RA5_025,Offspring,NA,A5,larval,B2_010,4
201604,RA5_055,Offspring,NA,A5,larval,B2_010,4
201604,RA5_062,Offspring,NA,A5,larval,B2_010,4
201604,RA5_089,Offspring,NA,A5,larval,B2_010,4
201604,RA5_094,Offspring,NA,A5,larval,B2_010,4
201604,RA5_114,Offspring,NA,A5,larval,B2_010,4
201604,RA5_122,Offspring,NA,A5,larval,B2_010,4
201604,RA5_128,Offspring,NA,A5,larval,B2_010,4
201604,RA5_135,Offspring,NA,A5,larval,B2_010,4
201604,RA5_139,Offspring,NA,A5,larval,B2_010,4
201604,RA5_151,Offspring,NA,A5,larval,B2_010,4
201604,RA5_152,Offspring,NA,A5,larval,B2_010,4
201604,RA5_153,Offspring,NA,A5,larval,B2_010,4
201604,RA5_163,Offspring,NA,A5,larval,B2_010,4
201604,RA5_166,Offspring,NA,A5,larval,B2_010,4
201604,RA5_168,Offspring,NA,A5,larval,B2_010,4
201604,RA5_185,Offspring,NA,A5,larval,B2_010,4
201604,RA5_217,Offspring,NA,A5,larval,B2_010,4
201604,RA5_231,Offspring,NA,A5,larval,B2_010,4
201604,RA5_239,Offspring,NA,A5,larval,B2_010,4
201604,RA5_248,Offspring,NA,A5,larval,B2_010,4
201604,RA5_271,Offspring,NA,A5,larval,B2_010,4
201604,RA5_274,Offspring,NA,A5,larval,B2_010,4
201604,RA5_280,Offspring,NA,A5,larval,B2_010,4
201604,RA5_296,Offspring,NA,A5,larval,B2_010,4
201604,RA5_309,Offspring,NA,A5,larval,B2_010,4
201604,RA5_347,Offspring,NA,A5,larval,B2_010,4
201604,RA5_351,Offspring,NA,A5,larval,B2_010,4
201604,RA5_358,Offspring,NA,A5,larval,B2_010,4
201604,RA5_371,Offspring,NA,A5,larval,B2_010,4
201604,RA5_440,Offspring,NA,A5,larval,B2_010,4
201604,RA5_454,Offspring,NA,A5,larval,B2_010,4
201604,RA5_048,Offspring,NA,A5,larval,B2_007,5
201604,RA5_082,Offspring,NA,A5,larval,B2_007,5
201604,RA5_101,Offspring,NA,A5,larval,B2_007,5
201604,RA5_103,Offspring,NA,A5,larval,B2_007,5
201604,RA5_111,Offspring,NA,A5,larval,B2_007,5
201604,RA5_123,Offspring,NA,A5,larval,B2_007,5
201604,RA5_129,Offspring,NA,A5,larval,B2_007,5
201604,RA5_138,Offspring,NA,A5,larval,B2_007,5
201604,RA5_148,Offspring,NA,A5,larval,B2_007,5
201604,RA5_171,Offspring,NA,A5,larval,B2_007,5
201604,RA5_176,Offspring,NA,A5,larval,B2_007,5
201604,RA5_179,Offspring,NA,A5,larval,B2_007,5
201604,RA5_183,Offspring,NA,A5,larval,B2_007,5
201604,RA5_187,Offspring,NA,A5,larval,B2_007,5
201604,RA5_188,Offspring,NA,A5,larval,B2_007,5
201604,RA5_209,Offspring,NA,A5,larval,B2_007,5
201604,RA5_210,Offspring,NA,A5,larval,B2_007,5
201604,RA5_212,Offspring,NA,A5,larval,B2_007,5
201604,RA5_223,Offspring,NA,A5,larval,B2_007,5
201604,RA5_227,Offspring,NA,A5,larval,B2_007,5
201604,RA5_241,Offspring,NA,A5,larval,B2_007,5
201604,RA5_242,Offspring,NA,A5,larval,B2_007,5
201604,RA5_245,Offspring,NA,A5,larval,B2_007,5
201604,RA5_346,Offspring,NA,A5,larval,B2_007,5
201604,RA5_349,Offspring,NA,A5,larval,B2_007,5
201604,RA5_376,Offspring,NA,A5,larval,B2_007,5
201604,RA5_403,Offspring,NA,A5,larval,B2_007,5
201604,RA5_421,Offspring,NA,A5,larval,B2_007,5
201604,RA5_436,Offspring,NA,A5,larval,B2_007,5
201604,RA5_007,Offspring,NA,A5,larval,B2_017,8
201604,RA5_015,Offspring,NA,A5,larval,B2_017,8
201604,RA5_037,Offspring,NA,A5,larval,B2_017,8
201604,RA5_060,Offspring,NA,A5,larval,B2_017,8
201604,RA5_064,Offspring,NA,A5,larval,B2_017,8
201604,RA5_075,Offspring,NA,A5,larval,B2_017,8
201604,RA5_085,Offspring,NA,A5,larval,B2_017,8
201604,RA5_105,Offspring,NA,A5,larval,B2_017,8
201604,RA5_117,Offspring,NA,A5,larval,B2_017,8
201604,RA5_186,Offspring,NA,A5,larval,B2_017,8
201604,RA5_193,Offspring,NA,A5,larval,B2_017,8
201604,RA5_195,Offspring,NA,A5,larval,B2_017,8
201604,RA5_198,Offspring,NA,A5,larval,B2_017,8
201604,RA5_222,Offspring,NA,A5,larval,B2_017,8
201604,RA5_229,Offspring,NA,A5,larval,B2_017,8
201604,RA5_244,Offspring,NA,A5,larval,B2_017,8
201604,RA5_247,Offspring,NA,A5,larval,B2_017,8
201604,RA5_264,Offspring,NA,A5,larval,B2_017,8
201604,RA5_282,Offspring,NA,A5,larval,B2_017,8
201604,RA5_286,Offspring,NA,A5,larval,B2_017,8
201604,RA5_300,Offspring,NA,A5,larval,B2_017,8
201604,RA5_318,Offspring,NA,A5,larval,B2_017,8
201604,RA5_332,Offspring,NA,A5,larval,B2_017,8
201604,RA5_366,Offspring,NA,A5,larval,B2_017,8
201604,RA5_367,Offspring,NA,A5,larval,B2_017,8
201604,RA5_019,Offspring,NA,A5,larval,B2_013,10
201604,RA5_051,Offspring,NA,A5,larval,B2_013,10
201604,RA5_054,Offspring,NA,A5,larval,B2_013,10
201604,RA5_058,Offspring,NA,A5,larval,B2_013,10
201604,RA5_066,Offspring,NA,A5,larval,B2_013,10
201604,RA5_077,Offspring,NA,A5,larval,B2_013,10
201604,RA5_083,Offspring,NA,A5,larval,B2_013,10
201604,RA5_090,Offspring,NA,A5,larval,B2_013,10
201604,RA5_091,Offspring,NA,A5,larval,B2_013,10
201604,RA5_106,Offspring,NA,A5,larval,B2_013,10
201604,RA5_115,Offspring,NA,A5,larval,B2_013,10
201604,RA5_120,Offspring,NA,A5,larval,B2_013,10
201604,RA5_142,Offspring,NA,A5,larval,B2_013,10
201604,RA5_175,Offspring,NA,A5,larval,B2_013,10
201604,RA5_191,Offspring,NA,A5,larval,B2_013,10
201604,RA5_230,Offspring,NA,A5,larval,B2_013,10
201604,RA5_238,Offspring,NA,A5,larval,B2_013,10
201604,RA5_254,Offspring,NA,A5,larval,B2_013,10
201604,RC8_014,Offspring,NA,C8,larval,B1_033,2
201604,RC8_044,Offspring,NA,C8,larval,B1_033,2
201604,RC8_045,Offspring,NA,C8,larval,B1_033,2
201604,RC8_063,Offspring,NA,C8,larval,B1_033,2
201604,RC8_073,Offspring,NA,C8,larval,B1_033,2
201604,RC8_074,Offspring,NA,C8,larval,B1_033,2
201604,RC8_077,Offspring,NA,C8,larval,B1_033,2
201604,RC8_080,Offspring,NA,C8,larval,B1_033,2
201604,RC8_084,Offspring,NA,C8,larval,B1_033,2
201604,RC8_093,Offspring,NA,C8,larval,B1_033,2
201604,RC8_108,Offspring,NA,C8,larval,B1_033,2
201604,RC8_110,Offspring,NA,C8,larval,B1_033,2
201604,RC8_149,Offspring,NA,C8,larval,B1_033,2
201604,RC8_154,Offspring,NA,C8,larval,B1_033,2
201604,RC8_193,Offspring,NA,C8,larval,B1_033,2
201604,RC8_210,Offspring,NA,C8,larval,B1_033,2
201604,RC8_211,Offspring,NA,C8,larval,B1_033,2
201604,RC8_239,Offspring,NA,C8,larval,B1_033,2
201604,RC8_245,Offspring,NA,C8,larval,B1_033,2
201604,RC8_277,Offspring,NA,C8,larval,B1_033,2
201604,RC8_284,Offspring,NA,C8,larval,B1_033,2
201604,RC8_298,Offspring,NA,C8,larval,B1_033,2
201604,RC8_309,Offspring,NA,C8,larval,B1_033,2
201604,RC8_322,Offspring,NA,C8,larval,B1_033,2
201604,RC8_336,Offspring,NA,C8,larval,B1_033,2
201604,RC8_352,Offspring,NA,C8,larval,B1_033,2
201604,RC8_360,Offspring,NA,C8,larval,B1_033,2
201604,RC8_381,Offspring,NA,C8,larval,B1_033,2
201604,RC8_397,Offspring,NA,C8,larval,B1_033,2
201604,RC8_453,Offspring,NA,C8,larval,B1_033,2
201604,RC8_464,Offspring,NA,C8,larval,B1_033,2
201604,RC8_470,Offspring,NA,C8,larval,B1_033,2
201604,RC8_497,Offspring,NA,C8,larval,B1_033,2
201604,RC8_500,Offspring,NA,C8,larval,B1_033,2
201604,RC8_503,Offspring,NA,C8,larval,B1_033,2
201604,RC8_520,Offspring,NA,C8,larval,B1_033,2
201604,RC8_523,Offspring,NA,C8,larval,B1_033,2
201604,RC8_528,Offspring,NA,C8,larval,B1_033,2
201604,RC8_535,Offspring,NA,C8,larval,B1_033,2
201604,RC8_544,Offspring,NA,C8,larval,B1_033,2
201604,RC8_548,Offspring,NA,C8,larval,B1_033,2
201604,RC8_557,Offspring,NA,C8,larval,B1_033,2
201604,RC8_562,Offspring,NA,C8,larval,B1_033,2
201604,RC9_011,Offspring,NA,C9,larval,B1_033,2
201604,RC9_013,Offspring,NA,C9,larval,B1_033,2
201604,RC9_017,Offspring,NA,C9,larval,B1_033,2
201604,RC9_030,Offspring,NA,C9,larval,B1_033,2
201604,RC9_031,Offspring,NA,C9,larval,B1_033,2
201604,RC9_034,Offspring,NA,C9,larval,B1_033,2
201604,RC9_045,Offspring,NA,C9,larval,B1_033,2
