PrawnID,GAV,Age,Class,FamID,IntFamID
G1T1701_157_001_F9_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_F7_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_F12_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_F10_G,1.43,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_F1_G,2.66,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_E9_G,3.11,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_E8_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_E5_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_E1_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_D6_G,1.3,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_D5_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_D1_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C9_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C8_G,1.69,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C5_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C4_G,1.57,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C11_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_C10_G,1.36,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_B8_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_B5_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_B2_G,3.02,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_B11_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_B1_G,ND,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_A6_G,1.88,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_A4_G,1.45,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_157_001_A2_G,3.95,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_H8_G,0.84,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_H6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_H4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_G9_G,0.95,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_G8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_G6_G,0.87,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_F7_G,0.97,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_E11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_D6_G,1.44,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_D4_G,3.25,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_B8_G,1.12,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_B7_G,0.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_B6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
G1T1701_156_001_B10_G,1.17,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
