Cohort,AnimalID,Class,GAV,Code,Type,FamilyID,IntFamID
201604,136_001_C11_G,Offspring,3.58,136,pond,B2_013,10
201604,136_001_B4_G,Offspring,3.65,136,pond,B2_013,10
201604,135_001_B6_G,Offspring,3.72,135,pond,B2_013,10
201604,135_001_G10_G,Offspring,3.99,135,pond,B2_013,10
201604,136_001_D5_G,Offspring,4,136,pond,B2_013,10
201604,136_001_D7_G,Offspring,4.16,136,pond,B2_013,10
201604,136_001_E1_G,Offspring,5.37,136,pond,B2_013,10
201604,135_001_E12_G,Offspring,5.6,135,pond,B2_013,10
201604,135_001_F12_G,Offspring,6.4,135,pond,B2_013,10
201604,135_001_D5_G,Offspring,ND,135,pond,B2_013,10
201604,135_001_D6_G,Offspring,ND,135,pond,B2_013,10
201604,135_001_H2_G,Offspring,ND,135,pond,B2_013,10
201604,135_001_H5_G,Offspring,ND,135,pond,B2_013,10
201604,136_001_A5_G,Offspring,ND,136,pond,B2_013,10
201604,136_001_B10_G,Offspring,ND,136,pond,B2_013,10
201604,243_01_E8G,Offspring,3.85,243,pond,B1_011,11
201604,244_01_H11G,Offspring,3.92,244,pond,B1_011,11
201604,244_01_H8G,Offspring,5,244,pond,B1_011,11
201604,243_01_H3G,Offspring,6.52,243,pond,B1_011,11
201604,135_001_F11_G,Offspring,3.07,135,pond,B2_015,13
201604,136_001_E11_G,Offspring,3.18,136,pond,B2_015,13
201604,136_001_H9_G,Offspring,3.25,136,pond,B2_015,13
201604,135_001_F6_G,Offspring,3.93,135,pond,B2_015,13
201604,136_001_H6_G,Offspring,4.83,136,pond,B2_015,13
201604,136_001_C3_G,Offspring,4.9,136,pond,B2_015,13
201604,136_001_E8_G,Offspring,5.24,136,pond,B2_015,13
201604,136_001_B3_G,Offspring,5.74,136,pond,B2_015,13
201604,136_001_B5_G,Offspring,7.43,136,pond,B2_015,13
201604,136_001_G8_G,Offspring,NA,136,pond,B2_015,13
201604,135_001_H4_G,Offspring,ND,135,pond,B2_015,13
201604,136_001_C4_G,Offspring,ND,136,pond,B2_015,13
201604,136_001_F8_G,Offspring,ND,136,pond,B2_015,13
201604,136_001_H7_G,Offspring,ND,136,pond,B2_015,13
201604,136_001_E7_G,Offspring,3.62,136,pond,B2_021,14
201604,135_001_A12_G,Offspring,4.09,135,pond,B2_021,14
201604,136_001_E12_G,Offspring,5.09,136,pond,B2_021,14
201604,136_001_E4_G,Offspring,ND,136,pond,B2_021,14
201604,135_001_B8_G,Offspring,2.58,135,pond,B2_003,15
201604,135_001_A11_G,Offspring,2.81,135,pond,B2_003,15
201604,136_001_F10_G,Offspring,3.07,136,pond,B2_003,15
201604,136_001_D1_G,Offspring,3.35,136,pond,B2_003,15
201604,136_001_C9_G,Offspring,3.64,136,pond,B2_003,15
201604,136_001_D6_G,Offspring,3.81,136,pond,B2_003,15
201604,135_001_E8_G,Offspring,3.83,135,pond,B2_003,15
201604,136_001_D9_G,Offspring,3.83,136,pond,B2_003,15
201604,135_001_D11_G,Offspring,4.31,135,pond,B2_003,15
201604,136_001_E5_G,Offspring,5.17,136,pond,B2_003,15
201604,135_001_A5_G,Offspring,ND,135,pond,B2_003,15
201604,135_001_C7_G,Offspring,ND,135,pond,B2_003,15
201604,136_001_D12_G,Offspring,ND,136,pond,B2_003,15
201604,244_01_D11G,Offspring,4.05,244,pond,B1_026,16
201604,243_01_E12G,Offspring,4.06,243,pond,B1_026,16
201604,243_01_C4G,Offspring,4.23,243,pond,B1_026,16
201604,243_01_G8G,Offspring,4.31,243,pond,B1_026,16
201604,243_01_B5G,Offspring,4.91,243,pond,B1_026,16
