Cohort,SampleID,GAV,Class,Code,Type,FamilyID,IntFamID,,,,,,,,sample ID,GAV
201604,135_001_G4_G,4.05,Offspring,135,pond,B2_010,4,,,,,,,,RC9_372,NA
201604,135_001_G5_G,0,Offspring,135,pond,B2_010,4,,,,,,,,RC9_442,NA
201604,135_001_G6_G,0,Offspring,135,pond,B2_019,32,,,,,,,,RC9_466,NA
201604,135_001_G7_G,4.85,Offspring,135,pond,B2_014,1,,,,,,,,RC8_017,NA
201604,135_001_G8_G,3.27,Offspring,135,pond,B2_002,46,,,,,,,,RC8_050,NA
201604,135_001_G9_G,0,Offspring,135,pond,B2_014,1,,,,,,,,RC8_218,NA
201604,135_001_H1_G,4.6,Offspring,135,pond,B2_010,4,,,,,,,,RC8_223,NA
201604,135_001_H10_G,3.49,Offspring,135,pond,B2_007,5,,,,,,,,RC8_229,NA
201604,135_001_H11_G,3.57,Offspring,135,pond,B2_007,5,,,,,,,,RC8_389,NA
201604,135_001_H2_G,0,Offspring,135,pond,B2_013,10,,,,,,,,RC8_517,6.96
201604,135_001_H4_G,0,Offspring,135,pond,B2_015,13,,,,,,,,RC9_049,NA
201604,135_001_H5_G,0,Offspring,135,pond,B2_013,10,,,,,,,,RC9_053,NA
201604,135_001_H9_G,3.14,Offspring,135,pond,B2_010,4,,,,,,,,RC9_055,NA
201604,136_001_A1_G,6.45,Offspring,136,pond,B2_007,5,,,,,,,,RC9_067,NA
201604,136_001_A11_G,6.98,Offspring,136,pond,B2_017,8,,,,,,,,RC9_071,NA
201604,136_001_A12_G,3.45,Offspring,136,pond,B2_016,41,,,,,,,,RC9_077,NA
201604,136_001_A2_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC9_078,NA
201604,136_001_A3_G,0,Offspring,136,pond,B2_020,22,,,,,,,,RC9_091,NA
201604,136_001_A4_G,3.69,Offspring,136,pond,B2_017,8,,,,,,,,RC9_153,6.26
201604,136_001_A5_G,0,Offspring,136,pond,B2_013,10,,,,,,,,RC9_179,7.24
201604,136_001_A6_G,5.95,Offspring,136,pond,B2_007,5,,,,,,,,RC9_222,7.26
201604,136_001_A7_G,0,Offspring,136,pond,B2_011,30,,,,,,,,RC9_227,7.18
201604,136_001_A8_G,3.93,Offspring,136,pond,B2_010,4,,,,,,,,RC9_269,7.22
201604,136_001_B1_G,4.25,Offspring,136,pond,B2_010,4,,,,,,,,RC9_278,6.82
201604,136_001_B10_G,0,Offspring,136,pond,B2_013,10,,,,,,,,RC9_282,6.68
201604,136_001_B11_G,4.18,Offspring,136,pond,B2_014,1,,,,,,,,RC9_320,NA
201604,136_001_B12_G,0,Offspring,136,pond,B2_020,22,,,,,,,,RC9_327,NA
201604,136_001_B2_G,3.15,Offspring,136,pond,B2_007,5,,,,,,,,RC9_330,NA
201604,136_001_B3_G,5.74,Offspring,136,pond,B2_015,13,,,,,,,,RC9_335,NA
201604,136_001_B4_G,3.65,Offspring,136,pond,B2_013,10,,,,,,,,RC9_399,NA
201604,136_001_B5_G,7.43,Offspring,136,pond,B2_015,13,,,,,,,,RC9_414,NA
201604,136_001_B6_G,7.28,Offspring,136,pond,B2_009,44,,,,,,,,RC9_438,NA
201604,136_001_B7_G,5.74,Offspring,136,pond,B2_010,4,,,,,,,,RC9_092,NA
201604,136_001_B8_G,6.96,Offspring,136,pond,B2_007,5,,,,,,,,244_01_B8G,3.67
201604,136_001_B9_G,6.4,Offspring,136,pond,B2_007,5,,,,,,,,RC8_043,NA
201604,136_001_C10_G,3.1,Offspring,136,pond,B2_014,1,,,,,,,,RC8_081,NA
201604,136_001_C11_G,3.58,Offspring,136,pond,B2_013,10,,,,,,,,RC8_121,7.21
201604,136_001_C3_G,4.9,Offspring,136,pond,B2_015,13,,,,,,,,RC8_329,NA
201604,136_001_C4_G,0,Offspring,136,pond,B2_015,13,,,,,,,,RC8_439,NA
201604,136_001_C6_G,4.7,Offspring,136,pond,B2_017,8,,,,,,,,RC8_467,NA
201604,136_001_C7_G,3.74,Offspring,136,pond,B2_010,4,,,,,,,,RC8_525,9.06
201604,136_001_C9_G,3.64,Offspring,136,pond,B2_003,15,,,,,,,,RC9_112,8.15
201604,136_001_D1_G,3.35,Offspring,136,pond,B2_003,15,,,,,,,,RC9_292,NA
201604,136_001_D10_G,3.58,Offspring,136,pond,B2_014,1,,,,,,,,RC9_332,NA
201604,136_001_D12_G,0,Offspring,136,pond,B2_003,15,,,,,,,,243_01_A9G,ND
201604,136_001_D2_G,0,Offspring,136,pond,B2_010,4,,,,,,,,243_01_B9G,3.5
201604,136_001_D4_G,3.19,Offspring,136,pond,B2_013,10,,,,,,,,243_01_C5G,3.2
201604,136_001_D5_G,4,Offspring,136,pond,B2_013,10,,,,,,,,243_01_D3G,3.84
201604,136_001_D6_G,3.81,Offspring,136,pond,B2_003,15,,,,,,,,243_01_H7G,4.8
201604,136_001_D7_G,4.16,Offspring,136,pond,B2_013,10,,,,,,,,244_01_A10G,ND
201604,136_001_D8_G,3.99,Offspring,136,pond,B2_002,46,,,,,,,,244_01_B11G,3.32
201604,136_001_D9_G,3.83,Offspring,136,pond,B2_003,15,,,,,,,,244_01_G11G,3.31
201604,136_001_E1_G,5.37,Offspring,136,pond,B2_013,10,,,,,,,,244_01_H7G,7.9
201604,136_001_E11_G,3.18,Offspring,136,pond,B2_015,13,,,,,,,,RC8_057,NA
201604,136_001_E12_G,5.09,Offspring,136,pond,B2_021,14,,,,,,,,RC8_078,NA
201604,136_001_E2_G,0,Offspring,136,pond,B2_007,5,,,,,,,,RC8_123,6.81
201604,136_001_E3_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC8_135,7.34
201604,136_001_E4_G,0,Offspring,136,pond,B2_021,14,,,,,,,,RC8_216,NA
201604,136_001_E5_G,5.17,Offspring,136,pond,B2_003,15,,,,,,,,RC8_233,NA
201604,136_001_E6_G,4.06,Offspring,136,pond,B2_005,34,,,,,,,,RC8_280,NA
201604,136_001_E7_G,3.62,Offspring,136,pond,B2_021,14,,,,,,,,RC8_285,NA
201604,136_001_E8_G,5.24,Offspring,136,pond,B2_015,13,,,,,,,,RC8_340,NA
201604,136_001_E9_G,4.19,Offspring,136,pond,B2_014,1,,,,,,,,RC8_353,NA
201604,136_001_F1_G,0,Offspring,136,pond,B2_007,5,,,,,,,,RC8_415,NA
201604,136_001_F10_G,3.07,Offspring,136,pond,B2_003,15,,,,,,,,RC8_424,NA
201604,136_001_F11_G,3.39,Offspring,136,pond,B2_014,1,,,,,,,,RC8_530,3.9
201604,136_001_F12_G,3.52,Offspring,136,pond,B2_016,41,,,,,,,,RC8_533,5.78
201604,136_001_F3_G,3.25,Offspring,136,pond,B2_007,5,,,,,,,,RC8_005,NA
201604,136_001_F5_G,5,Offspring,136,pond,B2_010,4,,,,,,,,RC8_019,NA
201604,136_001_F7_G,3.19,Offspring,136,pond,B2_007,5,,,,,,,,RC8_022,NA
201604,136_001_F8_G,0,Offspring,136,pond,B2_015,13,,,,,,,,RC8_035,NA
201604,136_001_G1_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC8_049,NA
201604,136_001_G10_G,8.03,Offspring,136,pond,B2_010,4,,,,,,,,RC8_051,NA
201604,136_001_G11_G,6.3,Offspring,136,pond,B2_019,32,,,,,,,,RC8_087,NA
201604,136_001_G2_G,3,Offspring,136,pond,B2_014,1,,,,,,,,RC8_109,7.47
201604,136_001_G3_G,5.36,Offspring,136,pond,B2_017,8,,,,,,,,RC8_133,7.26
201604,136_001_G4_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC8_164,7.5
201604,136_001_G5_G,3.39,Offspring,136,pond,B2_007,5,,,,,,,,RC8_174,7.81
201604,136_001_G6_G,3.11,Offspring,136,pond,B2_007,5,,,,,,,,RC8_194,NA
201604,136_001_G7_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC8_198,NA
201604,136_001_G8_G,NA,Offspring,136,pond,B2_015,13,,,,,,,,RC8_213,NA
201604,136_001_G9_G,6.98,Offspring,136,pond,B2_014,1,,,,,,,,RC8_221,NA
201604,136_001_H10_G,0,Offspring,136,pond,B2_007,5,,,,,,,,RC8_226,NA
201604,136_001_H11_G,3.66,Offspring,136,pond,B2_020,22,,,,,,,,RC8_244,NA
201604,136_001_H2_G,0,Offspring,136,pond,B2_014,1,,,,,,,,RC8_299,NA
201604,136_001_H3_G,0,Offspring,136,pond,B2_017,8,,,,,,,,RC8_348,NA
201604,136_001_H4_G,3.65,Offspring,136,pond,B2_010,4,,,,,,,,RC8_366,NA
201604,136_001_H5_G,4.3,Offspring,136,pond,B2_020,22,,,,,,,,RC8_367,NA
201604,136_001_H6_G,4.83,Offspring,136,pond,B2_015,13,,,,,,,,RC8_373,NA
201604,136_001_H7_G,0,Offspring,136,pond,B2_015,13,,,,,,,,RC8_382,NA
201604,136_001_H8_G,3.48,Offspring,136,pond,B2_013,10,,,,,,,,RC8_435,NA
201604,136_001_H9_G,3.25,Offspring,136,pond,B2_015,13,,,,,,,,RC8_445,NA
201602,141_001_A10_G,0,Offspring,141,pond,B3_013,9,,,,,,,,RC8_469,NA
201602,141_001_A11_G,0,Offspring,141,pond,B3_017,53,,,,,,,,RC8_493,7.72
201602,141_001_A12_G,3.15,Offspring,141,pond,B3_001,27,,,,,,,,RC8_532,7.48
201602,141_001_A2_G,3.11,Offspring,141,pond,B3_011,6,,,,,,,,RC8_551,6.84
201602,141_001_A3_G,0,Offspring,141,pond,B3_011,6,,,,,,,,RC9_015,NA
201602,141_001_A4_G,0,Offspring,141,pond,B3_023,69,,,,,,,,RC9_019,NA
201602,141_001_A5_G,0,Offspring,141,pond,B3_009,28,,,,,,,,RC9_023,NA
201602,141_001_A6_G,0,Offspring,141,pond,B3_001,27,,,,,,,,RC9_026,NA
201602,141_001_A7_G,0,Offspring,141,pond,B3_014,59,,,,,,,,RC9_042,NA
201602,141_001_A8_G,3.14,Offspring,141,pond,B3_013,9,,,,,,,,RC9_061,NA
201602,141_001_A9_G,0,Offspring,141,pond,B3_016,16,,,,,,,,RC9_069,NA
201602,141_001_B1_G,0,Offspring,141,pond,B3_016,16,,,,,,,,RC9_072,NA
201602,141_001_B10_G,0,Offspring,141,pond,B3_001,27,,,,,,,,RC9_137,7.56
201602,141_001_B12_G,3.15,Offspring,141,pond,B3_007,18,,,,,,,,RC9_141,7.93
201602,141_001_B2_G,0,Offspring,141,pond,B3_015,35,,,,,,,,RC9_143,7.36
201602,141_001_B3_G,0,Offspring,141,pond,B3_013,9,,,,,,,,RC9_198,7.71
201602,141_001_B4_G,0,Offspring,141,pond,B3_009,28,,,,,,,,RC9_210,6.63
201602,141_001_B5_G,0,Offspring,141,pond,B3_016,16,,,,,,,,RC9_216,7.65
201602,141_001_C1_G,0,Offspring,141,pond,B3_011,6,,,,,,,,RC9_219,7.79
201602,141_001_C10_G,0,Offspring,141,pond,B3_001,27,,,,,,,,RC9_221,7.31
201602,141_001_C12_G,3.15,Offspring,141,pond,B3_011,6,,,,,,,,RC9_261,7.91
201602,141_001_C2_G,3.09,Offspring,141,pond,B3_016,16,,,,,,,,RC9_284,NA
201602,141_001_C4_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC9_290,NA
201602,141_001_C5_G,0,Offspring,141,pond,B3_013,9,,,,,,,,RC9_301,NA
201602,141_001_C6_G,0,Offspring,141,pond,B3_020,7,,,,,,,,RC9_324,NA
