Cohort,PrawnID,GAV,Age,Class,FamID,IntFamID,GAVoffspringcount,,,IntFamID,GAVoffspringcount
201604,243_052P,NA,pond,Offspring,B1_011,4,29,,,,
201604,243_074P,NA,pond,Offspring,B1_011,4,29,,,,
201604,243_092P,NA,pond,Offspring,B1_011,4,29,,,,
201604,201604BR289,5.5,broodstock,father,B1_030,5,14,,,,
201604,201604BR431,0,broodstock,mother,B1_030,5,14,,,,
201604,RC9_145_PL,6.94,larval,Offspring,B1_030,5,14,,,,
201604,RC9_209_PL,6.97,larval,Offspring,B1_030,5,14,,,,
201604,RC9_234_PL,7.01,larval,Offspring,B1_030,5,14,,,,
201604,RC9_178_PL,7.08,larval,Offspring,B1_030,5,14,,,,
201604,RC9_147_PL,7.08,larval,Offspring,B1_030,5,14,,,,
201604,RC9_176_PL,7.19,larval,Offspring,B1_030,5,14,,,,
201604,RC9_279_PL,7.37,larval,Offspring,B1_030,5,14,,,,
201604,RC9_123_PL,7.63,larval,Offspring,B1_030,5,14,,,,
201604,RC9_161_PL,7.67,larval,Offspring,B1_030,5,14,,,,
201604,RC9_224_PL,7.67,larval,Offspring,B1_030,5,14,,,,
201604,RC9_235_PL,7.75,larval,Offspring,B1_030,5,14,,,,
201604,RC9_169_PL,9.44,larval,Offspring,B1_030,5,14,,,,
201604,243_068P,NA,pond,Offspring,B1_030,5,14,,,,
201604,243_071P,NA,pond,Offspring,B1_030,5,14,,,,
201602,201604BR020,3.51,broodstock,mother,B1_004,6,22,,,,
201602,RC8_531_PL,4.01,larval,Offspring,B1_004,6,22,,,,
201602,RC8_131_PL,4.2,larval,Offspring,B1_004,6,22,,,,
201602,RC8_534_PL,4.75,larval,Offspring,B1_004,6,22,,,,
201602,RC8_114_PL,5.26,larval,Offspring,B1_004,6,22,,,,
201602,RC8_521_PL,6.45,larval,Offspring,B1_004,6,22,,,,
201602,RC9_262_PL,6.61,larval,Offspring,B1_004,6,22,,,,
201602,RC8_477_PL,6.94,larval,Offspring,B1_004,6,22,,,,
201602,RC8_099_PL,7.15,larval,Offspring,B1_004,6,22,,,,
201602,RC9_232_PL,7.38,larval,Offspring,B1_004,6,22,,,,
201602,244_01_E7G,3.71,pond,Offspring,B1_004,6,22,,,,
201602,244_01_G7G,3.72,pond,Offspring,B1_004,6,22,,,,
201602,244_01_B9G,3.93,pond,Offspring,B1_004,6,22,,,,
201602,243_004P,NA,pond,Offspring,B1_004,6,22,,,,
201602,243_023P,NA,pond,Offspring,B1_004,6,22,,,,
201602,243_024P,NA,pond,Offspring,B1_004,6,22,,,,
201602,243_033P,NA,pond,Offspring,B1_004,6,22,,,,
201602,244_01_E10G,0,pond,Offspring,B1_004,6,22,,,,
201604,201604BR199,3.82,broodstock,father,B1_004,6,22,,,,
201604,RC9_144_PL,6.72,larval,Offspring,B1_004,6,22,,,,
201604,RC9_258_PL,7.43,larval,Offspring,B1_004,6,22,,,,
201604,243_077P,NA,pond,Offspring,B1_004,6,22,,,,
201604,243_01_D5G,0,pond,Offspring,B1_004,6,22,,,,
201604,243_01_D7G,0,pond,Offspring,B1_004,6,22,,,,
201602,RC8_524_PL,7.09,larval,Offspring,B1_021,7,14,,,,
201602,RC9_264_PL,7.22,larval,Offspring,B1_021,7,14,,,,
201602,RC9_256_PL,7.36,larval,Offspring,B1_021,7,14,,,,
201602,RC9_250_PL,7.41,larval,Offspring,B1_021,7,14,,,,
201604,201604BR239,0,broodstock,father,B1_021,7,14,,,,
201604,201604BR103,3.41,broodstock,mother,B1_021,7,14,,,,
201604,RC8_130_PL,6.88,larval,Offspring,B1_021,7,14,,,,
201604,RC9_199_PL,7.04,larval,Offspring,B1_021,7,14,,,,
201604,RC9_175_PL,7.25,larval,Offspring,B1_021,7,14,,,,
201604,RC8_526_PL,7.38,larval,Offspring,B1_021,7,14,,,,
201604,RC9_252_PL,7.39,larval,Offspring,B1_021,7,14,,,,
201604,RC9_120_PL,7.54,larval,Offspring,B1_021,7,14,,,,
201604,243_01_C6G,3.92,pond,Offspring,B1_021,7,14,,,,
201604,243_01_G11G,4.21,pond,Offspring,B1_021,7,14,,,,
201604,243_036P,NA,pond,Offspring,B1_021,7,14,,,,
201604,243_093P,NA,pond,Offspring,B1_021,7,14,,,,
201604,201604BR145,3.08,broodstock,father,B1_019,8,14,,,,
201604,201604BR084,3.05,broodstock,mother,B1_019,8,14,,,,
201604,RC8_106_PL,6.03,larval,Offspring,B1_019,8,14,,,,
201604,RC8_550_PL,6.42,larval,Offspring,B1_019,8,14,,,,
201604,RC8_489_PL,6.93,larval,Offspring,B1_019,8,14,,,,
201604,RC8_187_PL,7.13,larval,Offspring,B1_019,8,14,,,,
201604,RC8_556_PL,7.15,larval,Offspring,B1_019,8,14,,,,
201604,RC8_120_PL,7.19,larval,Offspring,B1_019,8,14,,,,
201604,RC8_476_PL,7.21,larval,Offspring,B1_019,8,14,,,,
201604,RC8_501_PL,7.24,larval,Offspring,B1_019,8,14,,,,
201604,RC8_145_PL,7.43,larval,Offspring,B1_019,8,14,,,,
201604,RC8_177_PL,7.59,larval,Offspring,B1_019,8,14,,,,
201604,243_01_C9G,3.77,pond,Offspring,B1_019,8,14,,,,
201604,243_01_H5G,4.21,pond,Offspring,B1_019,8,14,,,,
201604,243_01_D9G,4.7,pond,Offspring,B1_019,8,14,,,,
201604,244_01_A12G,4.77,pond,Offspring,B1_019,8,14,,,,
201602,RC9_269_PL,7.22,larval,Offspring,B1_006,9,14,,,,
201602,RC9_222_PL,7.26,larval,Offspring,B1_006,9,14,,,,
201602,243_029P,NA,pond,Offspring,B1_006,9,14,,,,
201602,243_065P,NA,pond,Offspring,B1_006,9,14,,,,
201602,243_076P,NA,pond,Offspring,B1_006,9,14,,,,
201604,201604BR158,4.56,broodstock,father,B1_006,9,14,,,,
201604,201604BR021,3.01,broodstock,mother,B1_006,9,14,,,,
201604,RC9_153_PL,6.26,larval,Offspring,B1_006,9,14,,,,
201604,RC9_282_PL,6.68,larval,Offspring,B1_006,9,14,,,,
201604,RC9_278_PL,6.82,larval,Offspring,B1_006,9,14,,,,
201604,RC8_517_PL,6.96,larval,Offspring,B1_006,9,14,,,,
201604,RC9_227_PL,7.18,larval,Offspring,B1_006,9,14,,,,
201604,RC9_179_PL,7.24,larval,Offspring,B1_006,9,14,,,,
201604,244_01_B8G,3.67,pond,Offspring,B1_006,9,14,,,,
201604,243_046P,NA,pond,Offspring,B1_006,9,14,,,,
201604,243_078P,NA,pond,Offspring,B1_006,9,14,,,,
201602,201604BR020,3.51,broodstock,mother,B1_005,10,8,,,,
201602,RC9_245_PL,7.14,larval,Offspring,B1_005,10,8,,,,
201602,RC9_281_PL,7.52,larval,Offspring,B1_005,10,8,,,,
201604,201604BR271,NA,broodstock,father,B1_005,10,8,,,,
201604,RC9_272_PL,4.1,larval,Offspring,B1_005,10,8,,,,
201604,RC9_194_PL,5.15,larval,Offspring,B1_005,10,8,,,,
