Cohort,OffspringID,Plateno,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamID,FamilyID,Offspring count,Pondcount,Larvalcount
201604,RA4_206,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,G1T1701_BR_067_GP__G1T1701_BR_037_P,12,12,0
201604,RA4_208,3,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,B1_023,12,1,11
201604,RA4_211,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B3_014,11,3,8
201604,RA4_212,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_112_MP__G1T1701_BR_002_P,11,11,0
201604,RA4_213,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B1_003,11,2,9
201604,RA4_214,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,B1_037,11,2,9
201604,RA4_215,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_139_MP__G1T1701_BR_042_P,10,10,0
201604,RA4_217,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_053_GP__G1T1701_BR_006_P,9,9,0
201604,RA4_218,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,G1T1701_BR_182_MP__G1T1701_BR_024_P,9,9,0
201604,RA4_220,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B1_025,9,2,7
201604,RA4_223,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,B2_012,9,0,9
201604,RA4_232,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B2_008,9,0,9
201604,RA4_237,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,B3_023,8,3,5
201604,RA4_238,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_119_MP__G1T1701_BR_324_MP,8,8,0
201604,RA4_242,3,A4,larval,201604BR223,NA,201604BR102,0,B2_007,G1T1701_BR_053_GP__G1T1701_BR_005_P,6,6,0
201604,RA4_246,3,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,G1T1701_BR_113_MP__G1T1701_BR_262_MP,6,6,0
201604,RA4_247,3,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,G1T1701_BR_401_MP__G1T1701_BR_025_P,6,6,0
201604,RA4_250,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_159_MP__G1T1701_BR_444_MP,6,6,0
201604,RA4_252,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,B3_006,6,0,6
201604,RA4_255,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_067_GP__G1T1701_BR_038_P,5,5,0
201604,RA4_261,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_134_MP__G1T1701_BR_444_MP,5,5,0
201604,RA4_265,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_119_MP__G1T1701_BR_015_P,4,4,0
201604,RA4_267,3,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_123_MP__G1T1701_BR_251_MP,4,4,0
201604,RA4_273,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_103_MP__G1T1701_BR_012_P,4,4,0
201604,RA4_278,3,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,B1_027,4,0,4
201604,RA4_284,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_103_MP__G1T1701_BR_014_P,3,3,0
201604,RA4_286,4,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,G1T1701_BR_211_MP__G1T1701_BR_428_MP,3,3,0
201604,RA4_289,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_049_GP__G1T1701_BR_001_P,2,2,0
201604,RA4_294,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_068_P__G1T1701_BR_017_P,2,2,0
201604,RA4_296,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,G1T1701_BR_064_P__G1T1701_BR_031_P,2,2,0
201604,RA4_301,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_090_M__G1T1701_BR_022_P,1,1,0
201604,RA4_307,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,G1T1701_BR_401_MP__G1T1701_BR_450_MP,0,1,-1
201604,RA4_308,4,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_313,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_314,4,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_316,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_317,4,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_318,4,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_322,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_328,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_329,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_334,4,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_335,4,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_340,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_343,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_353,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_360,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_361,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_362,4,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_369,4,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_379,5,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_382,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_384,5,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_385,5,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_386,5,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_390,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_393,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_396,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_401,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_402,5,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_408,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_413,5,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_416,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_421,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_422,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_428,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_435,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_437,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_438,5,A4,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA4_442,5,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_452,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_456,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_457,5,A4,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA4_459,5,A4,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA4_465,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA4_468,5,A4,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_003,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_004,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_007,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_008,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_013,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_015,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_020,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_021,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_024,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_025,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_031,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_037,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_039,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_047,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_048,1,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_055,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_060,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_061,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_062,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_064,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_067,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_075,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_082,1,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_085,1,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_087,1,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_089,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_094,1,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_101,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_103,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_104,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_105,2,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_108,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_111,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_114,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_117,2,A5,larval,201604BR365,3.55,201604BR537,2.04,B2_017,,,,
201604,RA5_122,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_123,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_124,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_128,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_129,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_132,2,A5,larval,201604BR326,4.07,201604BR520,4.15,B2_014,,,,
201604,RA5_135,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_138,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
201604,RA5_139,2,A5,larval,201604BR231,3.15,201604BR094,3.71,B2_010,,,,
201604,RA5_148,2,A5,larval,201604BR223,NA,201604BR102,0,B2_007,,,,
