Cohort,OffspringID,Plate no.,Well location,Code,Type,FatherID,Fatherlggav,MotherID,Motherlggav,FamilyID
201604,RC9_326,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_328,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_342,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_344,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_352,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_356,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_361,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_367,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_373,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_374,4,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_380,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_386,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_392,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_395,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_404,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_407,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_423,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_430,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_440,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_450,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_454,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_458,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RC9_464,5,,C9,larval,201604BR347,5.14,201604BR456,0,B1_033
201604,RA4_001,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_008,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_040,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_050,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_056,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_058,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_066,1,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_100,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_118,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_130,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_134,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_142,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_154,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_175,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_187,2,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_190,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_206,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_211,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_213,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_218,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
201604,RA4_223,3,,A4,larval,201604BR223,NA,201604BR102,0,B2_007
