Cohort,Code,Age,Class,PrawnID,GAV,FamID,IntFamID
201604,136,pond,Offspring,243_01_B5G,4.91,B1_026,3
201604,135,larval,Offspring,RC9_208_PL,5.04,B1_026,3
201604,parent,broodstock,father,201604BR289,5.5,B1_026,3
201604,parent,pond,Offspring,243_01_G5G,5.8,B1_026,3
201604,C8,pond,Offspring,243_01_A6G,6.02,B1_026,3
201604,244,larval,Offspring,RC8_182_PL,6.3,B1_026,3
201604,243,larval,Offspring,RC8_472_PL,6.85,B1_026,3
201604,136,larval,Offspring,RC8_495_PL,6.86,B1_026,3
201604,C9,larval,Offspring,RC9_192_PL,7.04,B1_026,3
201604,135,larval,Offspring,RC9_200_PL,7.13,B1_026,3
201604,C9,larval,Offspring,RC9_248_PL,7.33,B1_026,3
201604,136,larval,Offspring,RC8_137_PL,7.42,B1_026,3
201604,243,larval,Offspring,RC9_193_PL,7.48,B1_026,3
201604,136,larval,Offspring,RC8_136_PL,7.59,B1_026,3
201604,244,larval,Offspring,RC9_170_PL,7.67,B1_026,3
201604,C9,larval,Offspring,RC9_228_PL,7.73,B1_026,3
201604,135,larval,Offspring,RC9_229_PL,7.92,B1_026,3
201604,136,larval,Offspring,RC8_126_PL,8.19,B1_026,3
201604,244,larval,Offspring,RC9_132_PL,8.2,B1_026,3
201604,135,larval,Offspring,RC9_231_PL,8.21,B1_026,3
201604,parent,larval,Offspring,RC9_215_PL,8.42,B1_026,3
201604,parent,pond,Offspring,243_007P,NA,B1_026,3
201604,C8,pond,Offspring,243_041P,NA,B1_026,3
201604,C9,pond,Offspring,243_051P,NA,B1_026,3
201604,136,pond,Offspring,243_057P,NA,B1_026,3
201604,135,pond,Offspring,243_063P,NA,B1_026,3
201604,136,pond,Offspring,243_069P,NA,B1_026,3
201604,C8,pond,Offspring,243_086P,NA,B1_026,3
201602,142,pond,Offspring,243_089P,NA,B1_026,3
201604,parent,broodstock,father,201604BR192,3.18,B1_011,4
201604,135,broodstock,mother,201604BR059,3.51,B1_011,4
201604,135,pond,Offspring,243_01_E8G,3.85,B1_011,4
201604,244,pond,Offspring,244_01_H11G,3.92,B1_011,4
201602,parent,pond,Offspring,244_01_H8G,5,B1_011,4
201604,244,pond,Offspring,243_01_H3G,6.52,B1_011,4
201604,parent,larval,Offspring,RC9_210_PL,6.63,B1_011,4
201604,244,larval,Offspring,RC8_551_PL,6.84,B1_011,4
201604,parent,larval,Offspring,RC8_133_PL,7.26,B1_011,4
201604,136,larval,Offspring,RC9_221_PL,7.31,B1_011,4
201604,parent,larval,Offspring,RC9_143_PL,7.36,B1_011,4
201604,135,larval,Offspring,RC8_109_PL,7.47,B1_011,4
201604,135,larval,Offspring,RC8_532_PL,7.48,B1_011,4
201604,136,larval,Offspring,RC8_164_PL,7.5,B1_011,4
201604,136,larval,Offspring,RC9_137_PL,7.56,B1_011,4
201604,parent,larval,Offspring,RC9_216_PL,7.65,B1_011,4
201604,parent,larval,Offspring,RC9_198_PL,7.71,B1_011,4
201604,243,larval,Offspring,RC8_493_PL,7.72,B1_011,4
201604,parent,larval,Offspring,RC9_219_PL,7.79,B1_011,4
201604,136,larval,Offspring,RC8_174_PL,7.81,B1_011,4
201604,135,larval,Offspring,RC9_261_PL,7.91,B1_011,4
201604,parent,larval,Offspring,RC9_141_PL,7.93,B1_011,4
201604,135,pond,Offspring,243_001P,NA,B1_011,4
201604,136,pond,Offspring,243_002P,NA,B1_011,4
201604,243,pond,Offspring,243_013P,NA,B1_011,4
201604,135,pond,Offspring,243_019P,NA,B1_011,4
201604,135,pond,Offspring,243_020P,NA,B1_011,4
201604,parent,pond,Offspring,243_028P,NA,B1_011,4
201604,135,pond,Offspring,243_052P,NA,B1_011,4
201604,243,pond,Offspring,243_074P,NA,B1_011,4
201604,parent,pond,Offspring,243_092P,NA,B1_011,4
201604,135,broodstock,mother,201604BR431,0,B1_030,5
