Cohort,Code,Age,Class,PrawnID,GAV,FamID,
201604,135,larval,Offspring,RC9_261_PL,7.91,B1_011,
201604,parent,larval,Offspring,RC9_141_PL,7.93,B1_011,
201604,135,pond,Offspring,243_001P,NA,B1_011,
201604,136,pond,Offspring,243_002P,NA,B1_011,
201604,243,pond,Offspring,243_013P,NA,B1_011,
201604,135,pond,Offspring,243_019P,NA,B1_011,
201604,135,pond,Offspring,243_020P,NA,B1_011,
201604,parent,pond,Offspring,243_028P,NA,B1_011,
201604,135,pond,Offspring,243_052P,NA,B1_011,
201604,243,pond,Offspring,243_074P,NA,B1_011,
201604,parent,pond,Offspring,243_092P,NA,B1_011,
201604,244,broodstock,mother,201604BR060,0.00,B1_012,
201604,parent,broodstock,father,201604BR158,4.56,B1_012,
201604,parent,larval,Offspring,RC8_527_PL,6.27,B1_012,
201604,parent,larval,Offspring,RC9_127_PL,6.41,B1_012,
201604,parent,larval,Offspring,RC9_254_PL,6.53,B1_012,
201604,parent,larval,Offspring,RC9_260_PL,6.59,B1_012,
201604,136,larval,Offspring,RC9_203_PL,6.63,B1_012,
201604,parent,larval,Offspring,RC9_173_PL,6.70,B1_012,
201604,243,larval,Offspring,RC8_119_PL,6.70,B1_012,
201604,parent,larval,Offspring,RC9_148_PL,6.72,B1_012,
201604,135,larval,Offspring,RC9_212_PL,6.73,B1_012,
201602,parent,larval,Offspring,RC9_135_PL,6.77,B1_012,
201602,parent,larval,Offspring,RC9_150_PL,6.82,B1_012,
201604,136,larval,Offspring,RC9_167_PL,6.88,B1_012,
201604,135,larval,Offspring,RC8_142_PL,6.91,B1_012,
201604,136,larval,Offspring,RC9_182_PL,6.92,B1_012,
201604,135,larval,Offspring,RC9_188_PL,7.00,B1_012,
201604,135,larval,Offspring,RC8_480_PL,7.00,B1_012,
201604,136,larval,Offspring,RC9_174_PL,7.14,B1_012,
201604,136,larval,Offspring,RC9_126_PL,7.15,B1_012,
201604,136,larval,Offspring,RC9_186_PL,7.17,B1_012,
201604,136,larval,Offspring,RC8_159_PL,7.25,B1_012,
201604,135,larval,Offspring,RC8_507_PL,7.26,B1_012,
201604,136,larval,Offspring,RC9_163_PL,7.27,B1_012,
201604,244,larval,Offspring,RC9_159_PL,7.41,B1_012,
201604,parent,larval,Offspring,RC8_515_PL,7.41,B1_012,
201604,136,larval,Offspring,RC9_117_PL,7.42,B1_012,
201604,parent,larval,Offspring,RC9_217_PL,7.59,B1_012,
201604,244,larval,Offspring,RC9_122_PL,7.64,B1_012,
201602,142,larval,Offspring,RC9_233_PL,7.65,B1_012,
201604,135,larval,Offspring,RC9_253_PL,7.66,B1_012,
201604,244,larval,Offspring,RC9_177_PL,7.84,B1_012,
201604,136,larval,Offspring,RC9_115_PL,7.90,B1_012,
201602,142,larval,Offspring,RC8_104_PL,7.92,B1_012,
201604,parent,pond,Offspring,243_037P,NA,B1_012,
201604,243,pond,Offspring,243_058P,NA,B1_012,
201604,243,pond,Offspring,244_01_C10G,3.34,B1_015,
201604,135,broodstock,mother,201604BR072,3.42,B1_015,
201604,136,broodstock,father,201604BR195,3.69,B1_015,
201604,243,larval,Offspring,RC9_105_PL,3.86,B1_015,
201604,243,larval,Offspring,RC9_158_PL,4.89,B1_015,
201604,135,pond,Offspring,244_01_H9G,5.12,B1_015,
201604,parent,larval,Offspring,RC8_158_PL,5.15,B1_015,
201604,parent,larval,Offspring,RC8_481_PL,5.67,B1_015,
201604,136,larval,Offspring,RC9_238_PL,6.47,B1_015,
201604,135,larval,Offspring,RC8_496_PL,6.69,B1_015,
201604,243,pond,Offspring,243_008P,NA,B1_015,
201604,parent,pond,Offspring,243_010P,NA,B1_015,
201604,243,pond,Offspring,243_016P,NA,B1_015,
201604,C9,pond,Offspring,243_055P,NA,B1_015,
201602,142,pond,Offspring,243_079P,NA,B1_015,
201604,parent,pond,Offspring,244_01_B10G,0.00,B1_015,
201604,C8,pond,Offspring,244_01_G9G,0.00,B1_015,
201604,parent,broodstock,father,201604BR157,3.34,B1_016,
201604,243,pond,Offspring,243_01_E6G,3.48,B1_016,
201602,142,pond,Offspring,243_01_D12G,3.82,B1_016,
201604,135,broodstock,mother,201604BR074,4.09,B1_016,
201604,243,pond,Offspring,243_01_D11G,4.11,B1_016,
201604,244,larval,Offspring,RC8_540_PL,4.44,B1_016,
201604,136,larval,Offspring,RC9_142_PL,4.84,B1_016,
201604,135,larval,Offspring,RC9_211_PL,7.79,B1_016,
201604,244,pond,Offspring,243_064P,NA,B1_016,
201604,parent,pond,Offspring,243_01_H8G,0.00,B1_016,
201604,parent,broodstock,mother,201604BR084,3.05,B1_019,
201604,parent,broodstock,father,201604BR145,3.08,B1_019,
201604,244,pond,Offspring,243_01_C9G,3.77,B1_019,
201604,136,pond,Offspring,243_01_H5G,4.21,B1_019,
201604,135,pond,Offspring,243_01_D9G,4.70,B1_019,
201604,parent,pond,Offspring,244_01_A12G,4.77,B1_019,
201604,parent,larval,Offspring,RC8_106_PL,6.03,B1_019,
201604,243,larval,Offspring,RC8_550_PL,6.42,B1_019,
201604,136,larval,Offspring,RC8_489_PL,6.93,B1_019,
201604,C8,larval,Offspring,RC8_187_PL,7.13,B1_019,
201604,parent,larval,Offspring,RC8_556_PL,7.15,B1_019,
201604,243,larval,Offspring,RC8_120_PL,7.19,B1_019,
201604,135,larval,Offspring,RC8_476_PL,7.21,B1_019,
201604,244,larval,Offspring,RC8_501_PL,7.24,B1_019,
201604,243,larval,Offspring,RC8_145_PL,7.43,B1_019,
201604,136,larval,Offspring,RC8_177_PL,7.59,B1_019,
201604,parent,broodstock,father,201604BR239,0.00,B1_021,
201604,parent,broodstock,mother,201604BR103,3.41,B1_021,
201604,parent,pond,Offspring,243_01_C6G,3.92,B1_021,
201604,135,pond,Offspring,243_01_G11G,4.21,B1_021,
201604,C9,larval,Offspring,RC8_130_PL,6.88,B1_021,
201604,243,larval,Offspring,RC9_199_PL,7.04,B1_021,
201602,142,larval,Offspring,RC8_524_PL,7.09,B1_021,
201602,142,larval,Offspring,RC9_264_PL,7.22,B1_021,
201604,parent,larval,Offspring,RC9_175_PL,7.25,B1_021,
201602,142,larval,Offspring,RC9_256_PL,7.36,B1_021,
201604,136,larval,Offspring,RC8_526_PL,7.38,B1_021,
201604,135,larval,Offspring,RC9_252_PL,7.39,B1_021,
201602,142,larval,Offspring,RC9_250_PL,7.41,B1_021,
201604,parent,larval,Offspring,RC9_120_PL,7.54,B1_021,
201604,136,pond,Offspring,243_036P,NA,B1_021,
201604,136,pond,Offspring,243_093P,NA,B1_021,
201604,C8,broodstock,mother,201604BR116,0.00,B1_023,
201604,243,broodstock,father,201604BR146,5.77,B1_023,
201604,243,larval,Offspring,RC8_511_PL,6.90,B1_023,
201604,243,larval,Offspring,RC8_118_PL,7.22,B1_023,
201604,136,pond,Offspring,243_006P,NA,B1_023,
201602,142,pond,Offspring,243_025P,NA,B1_023,
201604,136,pond,Offspring,243_031P,NA,B1_023,
201604,243,pond,Offspring,243_040P,NA,B1_023,
201604,135,pond,Offspring,243_060P,NA,B1_023,
201604,135,pond,Offspring,244_01_E12G,0.00,B1_023,
201604,parent,broodstock,mother,201604BR399,3.90,B1_025,
201604,135,pond,Offspring,244_01_A7G,4.62,B1_025,
201604,243,broodstock,father,201604BR282,4.73,B1_025,
201604,parent,larval,Offspring,RC8_162_PL,7.36,B1_025,
201604,C8,larval,Offspring,RC8_105_PL,7.56,B1_025,
201604,243,larval,Offspring,RC8_100_PL,7.95,B1_025,
201604,243,larval,Offspring,RC8_519_PL,8.00,B1_025,
201604,parent,pond,Offspring,243_075P,NA,B1_025,
201604,parent,pond,Offspring,244_01_B12G,0.00,B1_025,
201604,135,broodstock,mother,201604BR412,3.75,B1_026,
201604,135,pond,Offspring,244_01_D11G,4.05,B1_026,
201604,244,pond,Offspring,243_01_E12G,4.06,B1_026,
201604,243,pond,Offspring,243_01_C4G,4.23,B1_026,
201604,243,pond,Offspring,243_01_G8G,4.31,B1_026,
201604,136,pond,Offspring,243_01_B5G,4.91,B1_026,
201604,135,larval,Offspring,RC9_208_PL,5.04,B1_026,
201604,parent,broodstock,father,201604BR289,5.50,B1_026,
201604,parent,pond,Offspring,243_01_G5G,5.80,B1_026,
201604,C8,pond,Offspring,243_01_A6G,6.02,B1_026,
201604,244,larval,Offspring,RC8_182_PL,6.30,B1_026,
201604,243,larval,Offspring,RC8_472_PL,6.85,B1_026,
201604,136,larval,Offspring,RC8_495_PL,6.86,B1_026,
201604,C9,larval,Offspring,RC9_192_PL,7.04,B1_026,
201604,135,larval,Offspring,RC9_200_PL,7.13,B1_026,
201604,C9,larval,Offspring,RC9_248_PL,7.33,B1_026,
201604,136,larval,Offspring,RC8_137_PL,7.42,B1_026,
201604,243,larval,Offspring,RC9_193_PL,7.48,B1_026,
201604,136,larval,Offspring,RC8_136_PL,7.59,B1_026,
201604,244,larval,Offspring,RC9_170_PL,7.67,B1_026,
201604,C9,larval,Offspring,RC9_228_PL,7.73,B1_026,
201604,135,larval,Offspring,RC9_229_PL,7.92,B1_026,
201604,136,larval,Offspring,RC8_126_PL,8.19,B1_026,
201604,244,larval,Offspring,RC9_132_PL,8.20,B1_026,
201604,135,larval,Offspring,RC9_231_PL,8.21,B1_026,
201604,parent,larval,Offspring,RC9_215_PL,8.42,B1_026,
201604,parent,pond,Offspring,243_007P,NA,B1_026,
201604,C8,pond,Offspring,243_041P,NA,B1_026,
201604,C9,pond,Offspring,243_051P,NA,B1_026,
201604,136,pond,Offspring,243_057P,NA,B1_026,
201604,135,pond,Offspring,243_063P,NA,B1_026,
201604,136,pond,Offspring,243_069P,NA,B1_026,
201604,C8,pond,Offspring,243_086P,NA,B1_026,
201602,142,pond,Offspring,243_089P,NA,B1_026,
201604,136,broodstock,father,201604BR204,4.05,B1_027,
201604,136,broodstock,mother,201604BR414,4.18,B1_027,
201604,parent,larval,Offspring,RC8_539_PL,6.98,B1_027,
201604,parent,larval,Offspring,RC8_122_PL,7.11,B1_027,
201604,parent,larval,Offspring,RC8_112_PL,7.42,B1_027,
201604,parent,pond,Offspring,243_084P,NA,B1_027,
201604,135,broodstock,mother,201604BR431,0.00,B1_030,
201604,244,broodstock,father,201604BR289,5.50,B1_030,
201604,C8,larval,Offspring,RC9_145_PL,6.94,B1_030,
201604,136,larval,Offspring,RC9_209_PL,6.97,B1_030,
201604,136,larval,Offspring,RC9_234_PL,7.01,B1_030,
201604,parent,larval,Offspring,RC9_178_PL,7.08,B1_030,
201604,C8,larval,Offspring,RC9_147_PL,7.08,B1_030,
201604,243,larval,Offspring,RC9_176_PL,7.19,B1_030,
201604,135,larval,Offspring,RC9_279_PL,7.37,B1_030,
201604,136,larval,Offspring,RC9_123_PL,7.63,B1_030,
201604,parent,larval,Offspring,RC9_161_PL,7.67,B1_030,
201604,243,larval,Offspring,RC9_224_PL,7.67,B1_030,
201604,C8,larval,Offspring,RC9_235_PL,7.75,B1_030,
201604,243,larval,Offspring,RC9_169_PL,9.44,B1_030,
201604,135,pond,Offspring,243_068P,NA,B1_030,
201604,C9,pond,Offspring,243_071P,NA,B1_030,
201604,C8,broodstock,mother,201604BR456,0.00,B1_033,
201604,C8,pond,Offspring,243_01_C7G,3.41,B1_033,
201604,136,pond,Offspring,244_01_E9G,3.50,B1_033,
201604,C8,pond,Offspring,243_01_F9G,3.53,B1_033,
201604,C8,pond,Offspring,243_01_F10G,3.80,B1_033,
201604,C8,pond,Offspring,243_01_B4G,3.81,B1_033,
201604,135,pond,Offspring,243_01_G6G,4.05,B1_033,
201604,135,pond,Offspring,243_01_B11G,4.39,B1_033,
201604,136,pond,Offspring,243_01_E11G,4.53,B1_033,
201604,C9,pond,Offspring,243_01_A11G,4.67,B1_033,
201604,C8,broodstock,father,201604BR347,5.14,B1_033,
201604,C8,larval,Offspring,RC8_497_PL,6.28,B1_033,
201604,136,larval,Offspring,RC8_500_PL,6.74,B1_033,
201604,C8,larval,Offspring,RC8_557_PL,6.75,B1_033,
201604,C9,larval,Offspring,RC8_528_PL,6.91,B1_033,
201604,C9,larval,Offspring,RC8_503_PL,6.91,B1_033,
201604,243,larval,Offspring,RC9_104_PL,7.01,B1_033,
201604,C9,larval,Offspring,RC9_271_PL,7.10,B1_033,
201604,C8,larval,Offspring,RC9_223_PL,7.14,B1_033,
201604,C9,larval,Offspring,RC9_191_PL,7.18,B1_033,
201604,C9,larval,Offspring,RC9_204_PL,7.18,B1_033,
201604,C9,larval,Offspring,RC9_266_PL,7.22,B1_033,
201604,C9,larval,Offspring,RC9_255_PL,7.30,B1_033,
201604,135,larval,Offspring,RC9_263_PL,7.32,B1_033,
201604,C9,larval,Offspring,RC8_562_PL,7.32,B1_033,
201604,C8,larval,Offspring,RC9_244_PL,7.40,B1_033,
201604,C9,larval,Offspring,RC9_184_PL,7.44,B1_033,
201604,C9,larval,Offspring,RC9_268_PL,7.44,B1_033,
201604,C8,larval,Offspring,RC8_520_PL,7.51,B1_033,
201604,C9,larval,Offspring,RC8_548_PL,7.52,B1_033,
201604,C9,larval,Offspring,RC9_259_PL,7.57,B1_033,
201604,C9,larval,Offspring,RC8_149_PL,7.59,B1_033,
201604,C8,larval,Offspring,RC9_185_PL,7.63,B1_033,
201604,C8,larval,Offspring,RC9_130_PL,7.68,B1_033,
201604,C8,larval,Offspring,RC8_523_PL,7.76,B1_033,
201604,C9,larval,Offspring,RC8_110_PL,7.76,B1_033,
201604,C8,larval,Offspring,RC8_154_PL,7.76,B1_033,
201604,C9,larval,Offspring,RC8_108_PL,7.79,B1_033,
201604,C9,larval,Offspring,RC9_124_PL,7.81,B1_033,
201604,C8,larval,Offspring,RC9_118_PL,7.87,B1_033,
201604,C8,larval,Offspring,RC8_544_PL,7.91,B1_033,
201604,C8,larval,Offspring,RC9_206_PL,7.95,B1_033,
201604,C8,larval,Offspring,RC8_535_PL,8.19,B1_033,
201604,C9,larval,Offspring,RC9_101_PL,9.05,B1_033,
201604,C8,pond,Offspring,243_044P,NA,B1_033,
201604,C8,pond,Offspring,243_045P,NA,B1_033,
201604,C8,pond,Offspring,243_048P,NA,B1_033,
201604,C8,pond,Offspring,243_056P,NA,B1_033,
201604,C8,pond,Offspring,243_059P,NA,B1_033,
201604,C9,pond,Offspring,243_070P,NA,B1_033,
201604,C8,pond,Offspring,243_01_A5G,0.00,B1_033,
201604,C9,pond,Offspring,243_01_C8G,0.00,B1_033,
201604,C8,pond,Offspring,243_01_F7G,0.00,B1_033,
201604,C9,pond,Offspring,244_01_D12G,0.00,B1_033,
201604,C8,pond,Offspring,244_01_G8G,0.00,B1_033,
201604,136,broodstock,mother,201604BR458,1.31,B1_034,
201604,C9,pond,Offspring,243_01_F11G,3.90,B1_034,
201604,136,broodstock,father,201604BR282,4.73,B1_034,
201604,C8,larval,Offspring,RC8_499_PL,6.44,B1_034,
201604,C9,larval,Offspring,RC8_180_PL,6.76,B1_034,
201604,136,pond,Offspring,244_01_C12G,7.02,B1_034,
201604,C9,larval,Offspring,RC8_103_PL,7.12,B1_034,
201604,C8,larval,Offspring,RC8_545_PL,7.23,B1_034,
201604,C9,larval,Offspring,RC8_153_PL,7.60,B1_034,
201604,C9,pond,Offspring,243_034P,NA,B1_034,
201604,244,broodstock,mother,201604BR479,3.47,B1_036,
201604,C9,pond,Offspring,243_01_B10G,4.00,B1_036,
201604,C9,broodstock,father,201604BR347,5.14,B1_036,
201604,C9,pond,Offspring,243_01_B12G,6.09,B1_036,
201604,C9,larval,Offspring,RC9_154_PL,6.51,B1_036,
201604,C9,larval,Offspring,RC9_267_PL,6.93,B1_036,
201602,142,larval,Offspring,RC9_275_PL,6.98,B1_036,
201604,C8,larval,Offspring,RC9_276_PL,7.07,B1_036,
