PrawnID,GAV,Class,Family ID,,,Family,,Offspring count
G1T1701_BR_007_P,#N/A,Father,G1T1701_BR_052_P__G1T1701_BR_007_P,,,G1T1701_BR_131_M__G1T1701_BR_262_MP,,639
G1T1701_BR_022_P,#N/A,Father,G1T1701_BR_060_P__G1T1701_BR_022_P,,,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,59
G1T1701_BR_450_MP,#N/A,Father,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,,G1T1701_BR_135_MP__G1T1701_BR_359_MP,,32
G1T1701_BR_363_MP,#N/A,Father,G1T1701_BR_222_M__G1T1701_BR_363_MP,,,G1T1701_BR_139_MP__G1T1701_BR_023_P,,1
G1T1701_BR_325_MP,#N/A,Father,G1T1701_BR_102_MP__G1T1701_BR_325_MP,,,G1T1701_BR_163_MP__G1T1701_BR_278_MP,,2
G1T1701_BR_013_P,#N/A,Father,G1T1701_BR_055_P__G1T1701_BR_013_P,,,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,207
G1T1701_BR_010_P,#N/A,Father,G1T1701_BR_055_P__G1T1701_BR_010_P,,,G1T1701_BR_168_MP__G1T1701_BR_031_P,,1
G1T1701_BR_018_P,#N/A,Father,G1T1701_BR_059_P__G1T1701_BR_018_P,,,G1T1701_BR_171_M__G1T1701_BR_189_MP,,69
G1T1701_BR_367_MP,#N/A,Father,G1T1701_BR_385_MP__G1T1701_BR_367_MP,,,G1T1701_BR_192_MP__G1T1701_BR_141_MP,,110
G1T1701_BR_036_P,#N/A,Father,G1T1701_BR_065_P__G1T1701_BR_036_P,,,G1T1701_BR_198_M__G1T1701_BR_044_P,,21
G1T1701_BR_141_MP,#N/A,Father,G1T1701_BR_192_MP__G1T1701_BR_141_MP,,,G1T1701_BR_204_M__G1T1701_BR_279_MP,,1
G1T1701_BR_348_MP,#N/A,Father,G1T1701_BR_117_MP__G1T1701_BR_348_MP,,,G1T1701_BR_204_M__G1T1701_BR_428_MP,,3
G1T1701_BR_278_MP,#N/A,Father,G1T1701_BR_163_MP__G1T1701_BR_278_MP,,,G1T1701_BR_211_MP__G1T1701_BR_189_MP,,98
G1T1701_BR_004_P,#N/A,Father,G1T1701_BR_052_P__G1T1701_BR_004_P,,,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,33
G1T1701_BR_272_MP,#N/A,Father,G1T1701_BR_095_MP__G1T1701_BR_272_MP,,,G1T1701_BR_222_M__G1T1701_BR_363_MP,,19
G1T1701_BR_279_MP,#N/A,Father,G1T1701_BR_204_M__G1T1701_BR_279_MP,,,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,220
G1T1701_BR_035_P,#N/A,Father,G1T1701_BR_065_P__G1T1701_BR_035_P,,,G1T1701_BR_362_MP__G1T1701_BR_284_MP,,112
G1T1701_BR_284_MP,#N/A,Father,G1T1701_BR_362_MP__G1T1701_BR_284_MP,,,G1T1701_BR_385_MP__G1T1701_BR_367_MP,,2
G1T1701_BR_359_MP,#N/A,Father,G1T1701_BR_135_MP__G1T1701_BR_359_MP,,,G1T1701_BR_388_MP__G1T1701_BR_441_MP,,1
G1T1701_BR_325_MP,#N/A,Father,G1T1701_BR_402_MP__G1T1701_BR_325_MP,,,G1T1701_BR_401_MP__G1T1701_BR_025_P,,54
G1T1701_BR_044_P,#N/A,Father,G1T1701_BR_198_M__G1T1701_BR_044_P,,,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,19
G1T1701_BR_441_MP,#N/A,Father,G1T1701_BR_388_MP__G1T1701_BR_441_MP,,,G1T1701_BR_402_MP__G1T1701_BR_325_MP,,140
G1T1701_BR_363_MP,#N/A,Father,G1T1701_BR_062_P__G1T1701_BR_363_MP,,,G1T1701_BR_461_P__G1T1701_BR_041_P,,32
G1T1701_BR_049_GP,0.00,Mother,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,
G1T1701_BR_119_MP,0.00,Mother,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,
G1T1701_BR_131_M,0.00,Mother,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,
G1T1701_BR_360_MP,0.00,Mother,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,
G1T1701_BR_049_GP,0.00,Mother,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,,,
G1T1701_BR_166_MP,0.00,Mother,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,
G1T1701_BR_119_MP,0.00,Mother,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,
G1T1701_BR_123_MP,0.00,Mother,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,
G1T1701_BR_123_MP,0.00,Mother,G1T1701_BR_123_MP__G1T1701_BR_441_MP,,,,,
G1T1701_BR_064_P,3.50,Mother,G1T1701_BR_064_P__G1T1701_BR_033_P,,,,,
G1T1701_BR_064_P,3.50,Mother,G1T1701_BR_064_P__G1T1701_BR_031_P,,,,,
G1T1701_BR_461_P,4.30,Mother,G1T1701_BR_461_P__G1T1701_BR_041_P,,,,,
G1T1701_BR_053_GP,4.78,Mother,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,
G1T1701_BR_053_GP,4.78,Mother,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,
G1T1701_BR_048_P,5.16,Mother,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,
G1T1701_BR_048_P,5.16,Mother,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,
G1T1701_BR_067_GP,5.32,Mother,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,
G1T1701_BR_067_GP,5.32,Mother,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,
