Broodstock ID,GAV ld/ug TNA,lgGAV
G1T1701_BR_180_MP,180144139.7,8.26
G1T1701_BR_181_MP,960605.9395,5.98
G1T1701_BR_183_MP,198355184.6,8.30
G1T1701_BR_184_MP,1467753674,9.17
G1T1701_BR_195_MP,133818.3919,5.13
G1T1701_BR_191_MP,6033839.371,6.78
G1T1701_BR_192_MP,9627.715491,3.98
G1T1701_BR_193_MP,140779.6857,5.15
G1T1701_BR_194_MP,394078921,8.60
G1T1701_BR_197_MP,5918602.827,6.77
G1T1701_BR_199_MP,48847.92744,4.69
G1T1701_BR_200_MP,15522.88926,4.19
G1T1701_BR_201_M,101324.23,5.01
G1T1701_BR_204_M,824428366,8.92
G1T1701_BR_209_MP,131899.444,5.12
G1T1701_BR_211_MP,64422140.43,7.81
G1T1701_BR_213_MP,9510389.926,6.98
G1T1701_BR_215_MP,65195216.14,7.81
G1T1701_BR_216_MP,9288262.704,6.97
G1T1701_BR_217_MP,24671.56094,4.39
G1T1701_BR_218_MP,214348.8815,5.33
G1T1701_BR_219_MP,3905541.259,6.59
G1T1701_BR_220_MP,25786.96188,4.41
G1T1701_BR_222_M,153506.2862,5.19
G1T1701_BR_223_M,301948609.1,8.48
G1T1701_BR_224_MP,1964876439,9.29
G1T1701_BR_225_M,1757661.886,6.24
G1T1701_BR_226_MP,1663215.447,6.22
G1T1701_BR_227_MP,790713281.3,8.90
G1T1701_BR_228_MP,73856.71734,4.87
G1T1701_BR_229_MP,259466.3324,5.41
G1T1701_BR_231_M,nd,0
G1T1701_BR_232_M,4604675.492,6.66
G1T1701_BR_233_MP,1286762.231,6.11
G1T1701_BR_235_MP,101298352.5,8.01
G1T1701_BR_236_MP,646252.8395,5.81
G1T1701_BR_238_MP,55372.97883,4.74
G1T1701_BR_239_MP,108779346.9,8.04
G1T1701_BR_240_MP,419239.7871,5.62
G1T1701_BR_160_MP,236025.9749,5.37
G1T1701_BR_245_MP,2943612.468,6.47
G1T1701_BR_249_MP,53346.26901,4.73
G1T1701_BR_250_MP,28657998.84,7.46
G1T1701_BR_251_MP,2664921.807,6.43
G1T1701_BR_252_MP,35815650.52,7.55
G1T1701_BR_253_MP,127993.746,5.11
G1T1701_BR_254_MP,322235.9731,5.51
G1T1701_BR_255_MP,8983.636553,3.95
G1T1701_BR_257_MP,319762.7835,5.50
G1T1701_BR_259_MP,5290.837509,3.72
G1T1701_BR_260_MP,nd,0
G1T1701_BR_261_MP,16100509.56,7.21
G1T1701_BR_262_MP,1072974.498,6.03
G1T1701_BR_264_MP,32926.35011,4.52
G1T1701_BR_265_MP,14681.27453,4.17
G1T1701_BR_266_MP,162726.002,5.21
G1T1701_BR_267_MP,12314877.32,7.09
G1T1701_BR_268_MP,15325.00755,4.19
G1T1701_BR_271_MP,5847.206117,3.77
G1T1701_BR_272_MP,2850758.595,6.45
G1T1701_BR_273_MP,284667.6647,5.45
G1T1701_BR_274_MP,16283.28835,4.21
G1T1701_BR_276_MP,23017.95023,4.36
G1T1701_BR_277_MP,8523.71042,3.93
G1T1701_BR_279_MP,nd,0
G1T1701_BR_287_MP,19434.74873,4.29
G1T1701_BR_289_MP,54769.8896,4.74
G1T1701_BR_291_M,24254.60989,4.38
G1T1701_BR_296_MP,28830.2184,4.46
G1T1701_BR_302_MP,140964.3522,5.15
G1T1701_BR_307_MP,50672.91121,4.70
G1T1701_BR_309_MP,151751.8651,5.18
G1T1701_BR_310_MP,99777.55339,5.00
G1T1701_BR_311_MP,828206.258,5.92
G1T1701_BR_312_MP,14077.04837,4.15
G1T1701_BR_317_MP,34309.82401,4.54
G1T1701_BR_318_MP,170976.4673,5.23
G1T1701_BR_321_MP,18844.9653,4.28
G1T1701_BR_323_MP,32352.6974,4.51
G1T1701_BR_324_MP,46124.04131,4.66
G1T1701_BR_326_MP,76559.88706,4.88
G1T1701_BR_327_MP,83264.20454,4.92
G1T1701_BR_330_MP,34899.2506,4.54
G1T1701_BR_333_M,58578.31011,4.77
G1T1701_BR_338_MP,545493.4315,5.74
G1T1701_BR_339_MP,746413.7994,5.87
G1T1701_BR_340_MP,2288706.11,6.36
G1T1701_BR_341_MP,5035134.7,6.70
G1T1701_BR_457,nd,0
G1T1701_BR_458,nd,0
G1T1701_BR_459,871927.4406,5.94
G1T1701_BR_460,109335867.6,8.04
G1T1701_BR_342_M,1832076.949,6.26
G1T1701_BR_343_MP,115988.8853,5.06
G1T1701_BR_348_MP,449124.2266,5.65
G1T1701_BR_349_MP,798421484.1,8.90
G1T1701_BR_351_MP,31848.95543,4.50
G1T1701_BR_352_MP,nd,0
G1T1701_BR_353_MP,1111784643,9.05
G1T1701_BR_354_MP,nd,0
G1T1701_BR_355_MP,629344.7645,5.80
G1T1701_BR_356_MP,150261.8447,5.18
G1T1701_BR_359_MP,741464.4272,5.87
G1T1701_BR_360_MP,nd,0
G1T1701_BR_361_MP,3117654.632,6.49
G1T1701_BR_362_MP,33489573.21,7.52
G1T1701_BR_363_MP,30714112.54,7.49
G1T1701_BR_365_MP,2690474.685,6.43
G1T1701_BR_366_MP,4752246.069,6.68
G1T1701_BR_377_MP,76033.9978,4.88
G1T1701_BR_379_MP,28846.87346,4.46
G1T1701_BR_381_MP,64346.27253,4.81
G1T1701_BR_382_MP,4348.764123,3.64
G1T1701_BR_383_MP,nd,0
G1T1701_BR_384_MP,141632.9945,5.15
G1T1701_BR_386_MP,14545.79312,4.16
G1T1701_BR_387_MP,nd,0
G1T1701_BR_388_MP,55951.16213,4.75
G1T1701_BR_389_MP,603969.2352,5.78
G1T1701_BR_390_MP,nd,0
G1T1701_BR_391_MP,306590.5621,5.49
G1T1701_BR_395_MP,nd,0
G1T1701_BR_398_MP,1339780.61,6.13
G1T1701_BR_399_MP,nd,0
G1T1701_BR_400_MP,44480.18158,4.65
G1T1701_BR_401_MP,1578548.675,6.20
G1T1701_BR_402_MP,7679.784754,3.89
G1T1701_BR_403_MP,152704860.7,8.18
G1T1701_BR_404_MP,1091431.19,6.04
G1T1701_BR_405_MP,109417.9052,5.04
G1T1701_BR_406_MP,246645.9995,5.39
G1T1701_BR_410_MP,23364560.45,7.37
G1T1701_BR_419_MP,nd,0
G1T1701_BR_421_MP,nd,0
G1T1701_BR_422_MP,518933.0973,5.72
G1T1701_BR_423_MP,nd,0
G1T1701_BR_424_MP,nd,0
G1T1701_BR_425_MP,1447273.484,6.16
G1T1701_BR_427_MP,504335.8083,5.70
G1T1701_BR_428_MP,282709.5053,5.45
G1T1701_BR_429_MP,116440.8613,5.07
G1T1701_BR_431_MP,4558733.377,6.66
G1T1701_BR_432_MP,373448.8625,5.57
G1T1701_BR_433_MP,291974.477,5.47
G1T1701_BR_434_MP,742809.3718,5.87
G1T1701_BR_437_MP,1045976.841,6.02
G1T1701_BR_439_MP,232106.2756,5.37
G1T1701_BR_440_MP,398029.3818,5.60
G1T1701_BR_441_MP,761811.2171,5.88
G1T1701_BR_442_MP,356704.9198,5.55
G1T1701_BR_443_MP,1027483.889,6.01
G1T1701_BR_444_MP,208114.9469,5.32
G1T1701_BR_445_MP,384977.6572,5.59
G1T1701_BR_446_MP,895404.5939,5.95
G1T1701_BR_447_MP,604558.4353,5.78
G1T1701_BR_448_MP,636294.1944,5.80
G1T1701_BR_449_MP,nd,0
G1T1701_BR_450_MP,7044.465549,3.85
G1T1701_BR_451_MP,1224673.78,6.09
G1T1701_BR_452_MP,8365.684774,3.92
G1T1701_BR_453_MP,nd,0
G1T1701_BR_456_MP,116160.4264,5.07
G1T1701_BR_055_P,nd,0
G1T1701_BR_049_GP,nd,0
G1T1701_BR_093_MP,nd,0
G1T1701_BR_094_MP,nd,0
G1T1701_BR_095_MP,nd,0
G1T1701_BR_096_M,nd,0
G1T1701_BR_185_MP,6602719.073,6.82
G1T1701_BR_186_MP,29380.02656,4.47
G1T1701_BR_187_MP,108951.3128,5.04
G1T1701_BR_188_M,nd,0
G1T1701_BR_190_MP,29526.93487,4.47
G1T1701_BR_281_MP,335624.7209,5.53
G1T1701_BR_282_MP,381335.1258,5.58
G1T1701_BR_283_MP,nd,0
G1T1701_BR_370_MP,14979.00861,4.18
G1T1701_BR_371_MP,680855.9998,5.83
G1T1701_BR_372_MP,1488708.178,6.17
G1T1701_BR_375_MP,285366.6367,5.46
