Cohort,Pond,Class,Prawn ID,log10GAV,FamilyID,,IntFamID,FamilyID,FamIntID,FatherGAVld,MotherGAVld,Mean Parent Load,Offspringcount,Offspring GAV+ve,Gav+ve(%),Offspring GAV -ve,GAV -ve (%),Offspringmeanld,Maxld,Minld
G1T1701,BR,Father,G1T1701_BR_090_M,6.04,G1T1701_BR_090_M__G1T1701_BR_022_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_103_MP,5.62,G1T1701_BR_103_MP__G1T1701_BR_012_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_103_MP,5.62,G1T1701_BR_103_MP__G1T1701_BR_014_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_112_MP,NA,G1T1701_BR_112_MP__G1T1701_BR_002_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_113_MP,6.29,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_119_MP,nd,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_119_MP,nd,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_123_MP,nd,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_131_M,nd,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_134_MP,5.97,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_139_MP,8.37,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_159_MP,NA,G1T1701_BR_159_MP__G1T1701_BR_444_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_166_MP,nd,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_170_MP,NA,G1T1701_BR_170_MP__G1T1701_BR_041_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_182_MP,4.26,G1T1701_BR_182_MP__G1T1701_BR_023_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_182_MP,4.26,G1T1701_BR_182_MP__G1T1701_BR_024_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_211_MP,7.81,G1T1701_BR_211_MP__G1T1701_BR_372_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_211_MP,7.81,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_360_MP,nd,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_401_MP,6.2,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_401_MP,6.2,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,,,,,,,,,,,,,,
G1T1701,BR,Father,G1T1701_BR_461_P,4.3,G1T1701_BR_461_P__G1T1701_BR_041_P,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR014,3.49,B1_003,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR020,3.51,B1_004,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR021,3.01,B1_006,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR047,3.95,B1_008,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR054,3.26,B1_010,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR059,3.51,B1_011,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR072,3.42,B1_015,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR074,4.09,B1_016,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR084,3.05,B1_019,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR103,3.41,B1_021,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR116,nd,B1_023,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR399,3.9,B1_025,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR412,3.75,B1_026,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR456,nd,B1_033,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR458,1.31,B1_034,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR479,3.47,B1_036,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR515,1.58,B1_037,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR062,3.06,B2_002,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR049,nd,B2_003,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR021,3.01,B2_004,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR085,3.97,B2_005,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR102,nd,B2_007,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR074,4.09,B2_009,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR094,3.71,B2_010,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR003,3.03,B2_011,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR429,nd,B2_013,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR520,4.15,B2_014,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR099,3.51,B2_015,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR071,3.5,B2_016,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR537,2.04,B2_017,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR457,2.28,B2_018,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR474,NA,B2_019,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR103,3.41,B2_020,,,,,,,,,,,,,,,
201604,BR,Mother,201604BR119,4,B2_021,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR026,nd,B3_001,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR035,1.84,B3_003,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR036,2.76,B3_004,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR036,2.76,B3_005,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR040,1.46,B3_007,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR054,2.22,B3_008,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR054,2.22,B3_009,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR056,nd,B3_011,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR060,1.51,B3_012,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR063,2.29,B3_013,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR066,3.32,B3_014,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR069,2.2,B3_015,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR075,2.43,B3_016,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR075,2.43,B3_017,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR085,1.31,B3_019,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR123,nd,B3_020,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR031,nd,B3_023,,,,,,,,,,,,,,,
201602,BR,Mother,201602BR018,NA,B3_029,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_001_P,3.65,G1T1701_BR_048_P__G1T1701_BR_001_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_002_P,3.35,G1T1701_BR_048_P__G1T1701_BR_002_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_001_P,3.65,G1T1701_BR_049_GP__G1T1701_BR_001_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_003_P,3.37,G1T1701_BR_049_GP__G1T1701_BR_003_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_005_P,nd,G1T1701_BR_053_GP__G1T1701_BR_005_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_006_P,3.47,G1T1701_BR_053_GP__G1T1701_BR_006_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_031_P,3.82,G1T1701_BR_064_P__G1T1701_BR_031_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_033_P,3.75,G1T1701_BR_064_P__G1T1701_BR_033_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_037_P,3.3,G1T1701_BR_067_GP__G1T1701_BR_037_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_038_P,NA,G1T1701_BR_067_GP__G1T1701_BR_038_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_017_P,nd,G1T1701_BR_068_P__G1T1701_BR_017_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_022_P,NA,G1T1701_BR_090_M__G1T1701_BR_022_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_012_P,3.79,G1T1701_BR_103_MP__G1T1701_BR_012_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_014_P,3.59,G1T1701_BR_103_MP__G1T1701_BR_014_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_002_P,3.35,G1T1701_BR_112_MP__G1T1701_BR_002_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_262_MP,6.03,G1T1701_BR_113_MP__G1T1701_BR_262_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_015_P,4.95,G1T1701_BR_119_MP__G1T1701_BR_015_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_324_MP,NA,G1T1701_BR_119_MP__G1T1701_BR_324_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_251_MP,6.43,G1T1701_BR_123_MP__G1T1701_BR_251_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_262_MP,6.03,G1T1701_BR_131_M__G1T1701_BR_262_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_444_MP,NA,G1T1701_BR_134_MP__G1T1701_BR_444_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_042_P,4.07,G1T1701_BR_139_MP__G1T1701_BR_042_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_444_MP,NA,G1T1701_BR_159_MP__G1T1701_BR_444_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_263_MP,NA,G1T1701_BR_166_MP__G1T1701_BR_263_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_041_P,nd,G1T1701_BR_170_MP__G1T1701_BR_041_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_023_P,3.48,G1T1701_BR_182_MP__G1T1701_BR_023_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_024_P,3.98,G1T1701_BR_182_MP__G1T1701_BR_024_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_372_MP,6.17,G1T1701_BR_211_MP__G1T1701_BR_372_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_428_MP,5.45,G1T1701_BR_211_MP__G1T1701_BR_428_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_318_MP,5.23,G1T1701_BR_360_MP__G1T1701_BR_318_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_025_P,NA,G1T1701_BR_401_MP__G1T1701_BR_025_P,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_450_MP,NA,G1T1701_BR_401_MP__G1T1701_BR_450_MP,,,,,,,,,,,,,,,
G1T1701,BR,Mother,G1T1701_BR_041_P,nd,G1T1701_BR_461_P__G1T1701_BR_041_P,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C12G,4.56,B1_003,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_D7G,5.66,B1_003,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_C8G,3.45,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_E7G,3.71,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_G7G,3.72,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B9G,3.93,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_C9G,3.95,B1_004,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D5G,nd,B1_004,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D7G,nd,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_E10G,nd,B1_004,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B8G,3.67,B1_006,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C5G,3.2,B1_008,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_G11G,3.31,B1_008,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B11G,3.32,B1_008,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B9G,3.5,B1_008,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D3G,3.84,B1_008,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_H7G,4.8,B1_008,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_H7G,7.9,B1_008,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_A9G,nd,B1_008,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_A10G,nd,B1_008,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_H4G,3.88,B1_010,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_E8G,3.77,B1_011,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_E8G,3.85,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_B6G,3.92,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_H11G,3.92,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_D5G,4.31,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_H8G,5,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_G4G,5.98,B1_011,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_H3G,6.52,B1_011,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_C10G,3.34,B1_015,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_G6G,3.57,B1_015,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_B7G,3.66,B1_015,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_H9G,5.12,B1_015,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B10G,nd,B1_015,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_G9G,nd,B1_015,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_E6G,3.48,B1_016,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D12G,3.82,B1_016,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D11G,4.11,B1_016,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_H8G,nd,B1_016,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C9G,3.77,B1_019,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_H7G,3.99,B1_019,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_H8G,4.05,B1_019,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_E4G,4.12,B1_019,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_H5G,4.21,B1_019,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_D9G,4.7,B1_019,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_A12G,4.77,B1_019,,,,,,,,,,,,,,,
201604,244,Offspring,244_03_D9G,4.92,B1_019,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C6G,3.92,B1_021,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_G11G,4.21,B1_021,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_F6G,6.08,B1_021,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_A5G,3.88,B1_023,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_E12G,nd,B1_023,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_D4G,3.93,B1_025,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_A7G,4.62,B1_025,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_B12G,nd,B1_025,,,,,,,,,,,,,,,
201604,244,Offspring,244_01_D11G,4.05,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_E12G,4.06,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_C4G,4.23,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_G8G,4.31,B1_026,,,,,,,,,,,,,,,
201604,244,Offspring,244_06_C4G,4.67,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_B5G,4.91,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_G5G,5.8,B1_026,,,,,,,,,,,,,,,
201604,243,Offspring,243_01_A6G,6.02,B1_026,,,,,,,,,,,,,,,
